SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99993.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99991.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0
99988.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0
99988.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,12.0,8.0
99985.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,15.0,11.0
99983.0,5.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,17.0,13.0
99976.0,7.0,5.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,24.0,18.0
99969.0,7.0,9.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,31.0,25.0
99963.0,10.0,10.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,8.0,37.0,29.0
99960.0,7.0,11.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,13.0,40.0,27.0
99954.0,8.0,9.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,15.0,46.0,31.0
99950.0,10.0,8.0,3.0,8.0,4.0,0.0,0.0,0.0,0.0,17.0,50.0,33.0
99934.0,16.0,13.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,22.0,66.0,44.0
99926.0,18.0,17.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,25.0,74.0,49.0
99917.0,21.0,19.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,29.0,83.0,54.0
99899.0,22.0,23.0,5.0,12.0,4.0,0.0,0.0,0.0,0.0,35.0,101.0,66.0
99885.0,25.0,25.0,7.0,16.0,4.0,0.0,0.0,0.0,0.0,38.0,115.0,77.0
99870.0,24.0,29.0,10.0,19.0,2.0,1.0,0.0,0.0,0.0,45.0,130.0,85.0
99853.0,24.0,34.0,10.0,24.0,4.0,1.0,0.0,0.0,0.0,50.0,147.0,97.0
99823.0,31.0,44.0,14.0,26.0,4.0,2.0,0.0,0.0,0.0,56.0,177.0,121.0
99785.0,30.0,61.0,16.0,28.0,8.0,1.0,0.0,1.0,0.0,70.0,215.0,144.0
99750.0,40.0,69.0,19.0,26.0,9.0,1.0,0.0,1.0,0.0,85.0,250.0,164.0
99716.0,41.0,69.0,20.0,39.0,12.0,1.0,0.0,1.0,0.0,101.0,284.0,182.0
99671.0,57.0,70.0,23.0,50.0,17.0,0.0,0.0,2.0,0.0,110.0,329.0,217.0
99605.0,74.0,92.0,27.0,59.0,21.0,1.0,0.0,2.0,0.0,119.0,395.0,274.0
99534.0,95.0,120.0,27.0,59.0,25.0,1.0,0.0,2.0,0.0,137.0,466.0,327.0
99452.0,110.0,140.0,28.0,69.0,27.0,3.0,0.0,2.0,0.0,169.0,548.0,377.0
99338.0,143.0,177.0,37.0,77.0,28.0,1.0,0.0,2.0,0.0,197.0,662.0,463.0
99205.0,186.0,219.0,42.0,90.0,27.0,0.0,0.0,2.0,0.0,229.0,795.0,564.0
