SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99993.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99992.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0
99989.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0
99989.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0
99988.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0
99984.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0
99980.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,15.0
99979.0,6.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,21.0,16.0
99972.0,8.0,6.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,28.0,23.0
99968.0,8.0,6.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,7.0,32.0,25.0
99961.0,8.0,11.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,10.0,39.0,29.0
99952.0,10.0,16.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,11.0,48.0,37.0
99945.0,14.0,13.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,14.0,55.0,41.0
99941.0,14.0,13.0,3.0,8.0,2.0,1.0,0.0,0.0,0.0,18.0,59.0,41.0
99935.0,15.0,10.0,3.0,13.0,2.0,1.0,0.0,0.0,0.0,21.0,65.0,44.0
99914.0,16.0,25.0,4.0,13.0,3.0,0.0,0.0,0.0,0.0,25.0,86.0,61.0
99901.0,18.0,27.0,5.0,14.0,3.0,1.0,0.0,0.0,0.0,31.0,99.0,68.0
99893.0,15.0,33.0,4.0,12.0,4.0,0.0,0.0,0.0,0.0,39.0,107.0,68.0
99884.0,15.0,30.0,3.0,16.0,5.0,0.0,0.0,0.0,0.0,47.0,116.0,69.0
99871.0,17.0,31.0,4.0,21.0,4.0,0.0,0.0,0.0,0.0,52.0,129.0,77.0
99845.0,19.0,44.0,5.0,20.0,4.0,1.0,0.0,0.0,0.0,62.0,155.0,93.0
99820.0,26.0,51.0,4.0,24.0,5.0,1.0,0.0,0.0,0.0,69.0,180.0,111.0
99787.0,35.0,59.0,8.0,28.0,5.0,1.0,0.0,0.0,0.0,77.0,213.0,136.0
99770.0,40.0,55.0,7.0,35.0,7.0,1.0,0.0,0.0,0.0,85.0,230.0,145.0
99745.0,44.0,53.0,9.0,43.0,4.0,0.0,1.0,0.0,0.0,101.0,255.0,154.0
99711.0,51.0,59.0,10.0,52.0,5.0,0.0,0.0,1.0,0.0,111.0,289.0,177.0
99686.0,48.0,59.0,13.0,54.0,5.0,0.0,0.0,1.0,0.0,134.0,314.0,179.0
99645.0,55.0,69.0,18.0,57.0,5.0,0.0,0.0,1.0,0.0,150.0,355.0,204.0
99602.0,62.0,79.0,16.0,62.0,9.0,0.0,0.0,1.0,0.0,169.0,398.0,228.0
