SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99992.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
99989.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0
99988.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,10.0
99987.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,10.0
99985.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,10.0
99976.0,3.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,18.0
99973.0,4.0,12.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,27.0,20.0
99968.0,5.0,9.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,32.0,23.0
99957.0,7.0,14.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,43.0,32.0
99949.0,10.0,15.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,51.0,39.0
99941.0,12.0,18.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,15.0,59.0,44.0
99929.0,15.0,21.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,16.0,71.0,55.0
99912.0,19.0,25.0,6.0,16.0,3.0,0.0,0.0,0.0,0.0,19.0,88.0,69.0
99884.0,26.0,37.0,8.0,15.0,5.0,0.0,0.0,0.0,0.0,25.0,116.0,91.0
99865.0,28.0,40.0,11.0,18.0,4.0,0.0,0.0,0.0,0.0,34.0,135.0,101.0
99851.0,31.0,37.0,11.0,25.0,5.0,0.0,0.0,0.0,0.0,40.0,149.0,109.0
99818.0,39.0,48.0,12.0,31.0,6.0,0.0,0.0,0.0,0.0,46.0,182.0,136.0
99779.0,46.0,66.0,11.0,32.0,8.0,1.0,0.0,0.0,0.0,57.0,221.0,164.0
99737.0,52.0,81.0,13.0,35.0,10.0,0.0,0.0,0.0,0.0,72.0,263.0,191.0
99695.0,56.0,92.0,16.0,43.0,14.0,0.0,0.0,0.0,0.0,84.0,305.0,221.0
99640.0,66.0,99.0,24.0,59.0,12.0,0.0,0.0,0.0,0.0,100.0,360.0,260.0
99572.0,73.0,115.0,28.0,71.0,17.0,0.0,0.0,0.0,0.0,124.0,428.0,304.0
99464.0,97.0,161.0,36.0,77.0,16.0,1.0,0.0,0.0,0.0,148.0,536.0,388.0
99364.0,114.0,189.0,45.0,84.0,20.0,0.0,0.0,0.0,0.0,184.0,636.0,452.0
99233.0,142.0,230.0,48.0,101.0,28.0,0.0,0.0,0.0,0.0,218.0,767.0,549.0
99064.0,170.0,286.0,60.0,133.0,31.0,1.0,0.0,0.0,0.0,255.0,936.0,681.0
98858.0,219.0,340.0,73.0,166.0,41.0,1.0,0.0,0.0,0.0,302.0,1142.0,840.0
98550.0,301.0,454.0,107.0,190.0,45.0,1.0,0.0,0.0,0.0,352.0,1450.0,1098.0
98188.0,381.0,584.0,132.0,234.0,50.0,0.0,0.0,0.0,0.0,431.0,1812.0,1381.0
