SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99990.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
99986.0,4.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0
99983.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,13.0
99982.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,14.0
99979.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,15.0
99973.0,6.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,27.0,20.0
99970.0,5.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0,21.0
99966.0,7.0,6.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,11.0,34.0,23.0
99961.0,7.0,8.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,13.0,39.0,26.0
99956.0,8.0,9.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,15.0,44.0,29.0
99951.0,9.0,8.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,19.0,49.0,30.0
99943.0,13.0,7.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,24.0,57.0,33.0
99936.0,15.0,9.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,26.0,64.0,38.0
99929.0,19.0,10.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,28.0,71.0,43.0
99917.0,22.0,16.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0,30.0,83.0,53.0
99914.0,19.0,14.0,3.0,11.0,3.0,0.0,0.0,0.0,0.0,36.0,86.0,50.0
99909.0,15.0,16.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,46.0,91.0,45.0
99900.0,16.0,17.0,1.0,12.0,3.0,1.0,0.0,0.0,0.0,50.0,100.0,50.0
99889.0,17.0,20.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,56.0,111.0,55.0
99883.0,17.0,20.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,60.0,117.0,57.0
99874.0,14.0,25.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,69.0,126.0,57.0
99869.0,13.0,23.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,74.0,131.0,57.0
99853.0,17.0,26.0,5.0,17.0,0.0,1.0,0.0,0.0,0.0,81.0,147.0,66.0
99838.0,19.0,26.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,89.0,162.0,73.0
99818.0,25.0,32.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,97.0,182.0,85.0
99800.0,30.0,34.0,9.0,23.0,2.0,0.0,0.0,0.0,0.0,102.0,200.0,98.0
99782.0,33.0,37.0,9.0,24.0,4.0,0.0,0.0,0.0,0.0,111.0,218.0,107.0
99746.0,43.0,46.0,13.0,26.0,6.0,0.0,0.0,0.0,0.0,120.0,254.0,134.0
