SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0
99993.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0
99991.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0
99989.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0
99987.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,9.0
99987.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,13.0,9.0
99982.0,6.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,18.0,14.0
99977.0,9.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,23.0,19.0
99972.0,9.0,8.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,28.0,22.0
99969.0,9.0,9.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,31.0,24.0
99962.0,8.0,14.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,38.0,28.0
99957.0,7.0,12.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,14.0,43.0,29.0
99949.0,9.0,15.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,17.0,51.0,34.0
99940.0,11.0,14.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,19.0,60.0,41.0
99923.0,15.0,23.0,5.0,11.0,2.0,0.0,0.0,0.0,0.0,21.0,77.0,56.0
99913.0,18.0,26.0,5.0,9.0,3.0,0.0,0.0,0.0,0.0,26.0,87.0,61.0
99899.0,21.0,34.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,30.0,101.0,71.0
99884.0,24.0,38.0,2.0,14.0,6.0,0.0,0.0,0.0,0.0,32.0,116.0,84.0
99864.0,26.0,40.0,2.0,22.0,7.0,0.0,0.0,0.0,0.0,39.0,136.0,97.0
99831.0,28.0,54.0,6.0,28.0,6.0,0.0,0.0,0.0,0.0,47.0,169.0,122.0
99803.0,36.0,65.0,9.0,26.0,1.0,0.0,0.0,0.0,0.0,60.0,197.0,137.0
99775.0,36.0,71.0,10.0,31.0,2.0,1.0,0.0,0.0,0.0,74.0,225.0,151.0
99741.0,41.0,63.0,15.0,49.0,5.0,1.0,0.0,0.0,0.0,85.0,259.0,174.0
99692.0,54.0,74.0,17.0,57.0,6.0,1.0,0.0,0.0,0.0,99.0,308.0,209.0
99627.0,71.0,101.0,20.0,59.0,7.0,0.0,1.0,0.0,0.0,114.0,373.0,259.0
99580.0,79.0,110.0,22.0,65.0,10.0,0.0,0.0,1.0,0.0,133.0,420.0,286.0
99491.0,96.0,134.0,30.0,74.0,16.0,0.0,0.0,1.0,0.0,158.0,509.0,350.0
99391.0,117.0,171.0,34.0,76.0,20.0,1.0,0.0,1.0,0.0,189.0,609.0,419.0
99289.0,134.0,203.0,38.0,91.0,25.0,1.0,0.0,1.0,0.0,218.0,711.0,492.0
