SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99991.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0
99990.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99987.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,13.0,9.0
99985.0,2.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,15.0,11.0
99977.0,4.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,23.0,18.0
99965.0,7.0,16.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,35.0,30.0
99960.0,9.0,17.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,6.0,40.0,34.0
99957.0,8.0,17.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,8.0,43.0,35.0
99943.0,11.0,23.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,11.0,57.0,46.0
99931.0,13.0,24.0,4.0,12.0,2.0,1.0,0.0,0.0,0.0,13.0,69.0,56.0
99916.0,17.0,29.0,6.0,12.0,2.0,1.0,0.0,0.0,0.0,17.0,84.0,67.0
99902.0,23.0,28.0,5.0,18.0,2.0,1.0,1.0,0.0,0.0,20.0,98.0,78.0
99886.0,27.0,33.0,1.0,23.0,6.0,0.0,0.0,1.0,0.0,23.0,114.0,90.0
99852.0,32.0,48.0,4.0,24.0,7.0,0.0,0.0,1.0,0.0,32.0,148.0,115.0
99829.0,34.0,55.0,6.0,26.0,7.0,0.0,0.0,1.0,0.0,42.0,171.0,128.0
99791.0,37.0,74.0,9.0,29.0,5.0,0.0,0.0,1.0,0.0,54.0,209.0,154.0
99769.0,41.0,72.0,10.0,30.0,6.0,0.0,0.0,1.0,0.0,71.0,231.0,159.0
99734.0,53.0,68.0,10.0,48.0,6.0,1.0,0.0,1.0,0.0,79.0,266.0,186.0
99679.0,62.0,91.0,7.0,57.0,9.0,1.0,0.0,1.0,0.0,93.0,321.0,227.0
99609.0,67.0,122.0,14.0,53.0,11.0,2.0,0.0,1.0,0.0,121.0,391.0,269.0
99555.0,80.0,129.0,19.0,58.0,13.0,1.0,0.0,1.0,0.0,144.0,445.0,300.0
99482.0,100.0,142.0,28.0,72.0,14.0,0.0,1.0,1.0,0.0,160.0,518.0,357.0
99404.0,120.0,150.0,29.0,86.0,15.0,2.0,0.0,1.0,1.0,192.0,596.0,403.0
99290.0,147.0,184.0,34.0,107.0,15.0,2.0,0.0,1.0,0.0,220.0,710.0,489.0
99166.0,166.0,227.0,48.0,117.0,18.0,2.0,0.0,1.0,0.0,255.0,834.0,578.0
99007.0,207.0,257.0,50.0,147.0,24.0,1.0,0.0,2.0,0.0,305.0,993.0,686.0
98818.0,239.0,325.0,60.0,164.0,31.0,0.0,0.0,2.0,0.0,361.0,1182.0,819.0
98597.0,283.0,393.0,66.0,181.0,49.0,0.0,0.0,2.0,0.0,429.0,1403.0,972.0
