SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99990.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99986.0,4.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0
99986.0,4.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0
99983.0,3.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,15.0
99981.0,2.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,15.0
99979.0,2.0,7.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,21.0,16.0
99974.0,2.0,7.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,7.0,26.0,19.0
99966.0,4.0,11.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,9.0,34.0,25.0
99958.0,4.0,17.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,42.0,29.0
99953.0,6.0,13.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,16.0,47.0,31.0
99949.0,6.0,15.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,18.0,51.0,33.0
99933.0,11.0,22.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,21.0,67.0,46.0
99927.0,10.0,22.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,27.0,73.0,46.0
99914.0,12.0,23.0,4.0,14.0,2.0,0.0,0.0,0.0,0.0,31.0,86.0,55.0
99894.0,16.0,35.0,4.0,15.0,2.0,0.0,0.0,0.0,0.0,34.0,106.0,72.0
99882.0,18.0,33.0,3.0,21.0,4.0,0.0,0.0,0.0,0.0,39.0,118.0,79.0
99867.0,25.0,28.0,5.0,28.0,4.0,0.0,0.0,0.0,0.0,43.0,133.0,90.0
99848.0,29.0,35.0,5.0,28.0,4.0,0.0,0.0,0.0,0.0,51.0,152.0,101.0
99814.0,35.0,45.0,8.0,32.0,3.0,1.0,0.0,0.0,0.0,62.0,186.0,124.0
99774.0,47.0,61.0,9.0,25.0,5.0,0.0,0.0,0.0,0.0,79.0,226.0,147.0
99733.0,53.0,77.0,9.0,33.0,7.0,0.0,0.0,0.0,0.0,88.0,267.0,179.0
99695.0,56.0,95.0,7.0,35.0,8.0,1.0,0.0,0.0,0.0,103.0,305.0,202.0
99646.0,69.0,107.0,11.0,42.0,8.0,0.0,0.0,0.0,0.0,117.0,354.0,237.0
99583.0,84.0,124.0,12.0,50.0,11.0,0.0,0.0,0.0,0.0,136.0,417.0,281.0
99515.0,99.0,133.0,15.0,72.0,11.0,0.0,0.0,0.0,0.0,155.0,485.0,330.0
99411.0,120.0,154.0,27.0,86.0,11.0,1.0,0.0,0.0,0.0,190.0,589.0,399.0
99313.0,133.0,180.0,32.0,114.0,14.0,1.0,0.0,0.0,0.0,213.0,687.0,474.0
99197.0,153.0,210.0,45.0,125.0,13.0,4.0,0.0,0.0,0.0,253.0,803.0,550.0
99062.0,170.0,259.0,49.0,123.0,18.0,1.0,0.0,0.0,0.0,318.0,938.0,620.0
