SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0
99993.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0
99993.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0
99989.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0
99985.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,13.0
99984.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,11.0
99984.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,11.0
99979.0,6.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,16.0
99974.0,5.0,8.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,20.0
99968.0,8.0,9.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0,32.0,22.0
99965.0,8.0,9.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,12.0,35.0,23.0
99964.0,8.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,16.0,36.0,20.0
99953.0,7.0,13.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,18.0,47.0,29.0
99944.0,7.0,19.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,56.0,36.0
99938.0,7.0,21.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,24.0,62.0,38.0
99936.0,6.0,19.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,25.0,64.0,39.0
99924.0,10.0,23.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,27.0,76.0,49.0
99909.0,14.0,19.0,4.0,18.0,3.0,0.0,0.0,0.0,0.0,33.0,91.0,58.0
99888.0,21.0,29.0,6.0,16.0,3.0,0.0,0.0,0.0,0.0,37.0,112.0,75.0
99866.0,27.0,32.0,12.0,16.0,2.0,0.0,0.0,0.0,0.0,45.0,134.0,89.0
99852.0,28.0,32.0,11.0,21.0,4.0,0.0,0.0,0.0,0.0,52.0,148.0,96.0
99827.0,31.0,41.0,11.0,25.0,5.0,1.0,0.0,0.0,0.0,59.0,173.0,114.0
99793.0,40.0,46.0,13.0,32.0,9.0,1.0,0.0,0.0,0.0,66.0,207.0,141.0
99752.0,50.0,64.0,14.0,33.0,10.0,2.0,0.0,0.0,0.0,75.0,248.0,173.0
99712.0,52.0,74.0,16.0,35.0,13.0,0.0,0.0,1.0,0.0,97.0,288.0,190.0
99663.0,52.0,95.0,19.0,41.0,16.0,0.0,0.0,1.0,0.0,113.0,337.0,223.0
99620.0,56.0,109.0,20.0,46.0,17.0,1.0,0.0,1.0,0.0,130.0,380.0,249.0
99534.0,82.0,136.0,22.0,59.0,18.0,2.0,0.0,1.0,0.0,146.0,466.0,319.0
99469.0,97.0,146.0,25.0,72.0,16.0,2.0,0.0,1.0,0.0,172.0,531.0,358.0
99383.0,121.0,162.0,27.0,89.0,15.0,2.0,1.0,1.0,0.0,199.0,617.0,417.0
