SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0
99992.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0
99992.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0
99992.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0
99991.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0
99990.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0
99988.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,5.0
99985.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,7.0
99985.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,15.0,7.0
99985.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,15.0,7.0
99982.0,3.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,18.0,10.0
99979.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,21.0,13.0
99976.0,5.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0,24.0,14.0
99975.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,25.0,12.0
99975.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,25.0,11.0
99974.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,16.0,26.0,10.0
99972.0,2.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,16.0,28.0,12.0
99971.0,1.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,19.0,29.0,10.0
99971.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,22.0,29.0,6.0
99970.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,22.0,30.0,7.0
99969.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,24.0,31.0,6.0
99969.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,24.0,31.0,6.0
99967.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,26.0,33.0,6.0
99967.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,27.0,33.0,5.0
99960.0,5.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0,40.0,11.0
99958.0,6.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0,42.0,13.0
99957.0,6.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,29.0,43.0,13.0
99954.0,6.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,31.0,46.0,14.0
99953.0,4.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,33.0,47.0,13.0
99949.0,4.0,7.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,33.0,51.0,17.0
