SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99994.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99992.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
99991.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
99987.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0
99984.0,9.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0
99983.0,8.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,15.0
99978.0,8.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,18.0
99977.0,8.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,18.0
99970.0,10.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,24.0
99966.0,10.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,34.0,26.0
99964.0,10.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,36.0,26.0
99959.0,8.0,11.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,13.0,41.0,28.0
99952.0,10.0,11.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,16.0,48.0,32.0
99941.0,9.0,18.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,18.0,59.0,41.0
99925.0,13.0,22.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,24.0,75.0,51.0
99906.0,17.0,31.0,5.0,15.0,1.0,0.0,0.0,0.0,0.0,25.0,94.0,69.0
99883.0,25.0,33.0,11.0,15.0,1.0,0.0,0.0,0.0,0.0,32.0,117.0,85.0
99871.0,29.0,32.0,11.0,23.0,1.0,0.0,0.0,0.0,0.0,33.0,129.0,96.0
99843.0,33.0,40.0,14.0,26.0,1.0,0.0,0.0,0.0,0.0,43.0,157.0,114.0
99813.0,37.0,49.0,16.0,31.0,4.0,0.0,0.0,0.0,0.0,50.0,187.0,137.0
99772.0,43.0,62.0,23.0,30.0,6.0,0.0,0.0,0.0,0.0,64.0,228.0,164.0
99724.0,50.0,79.0,25.0,32.0,8.0,0.0,0.0,0.0,0.0,82.0,276.0,194.0
99684.0,62.0,89.0,20.0,36.0,15.0,0.0,0.0,0.0,0.0,94.0,316.0,222.0
99630.0,67.0,103.0,19.0,50.0,17.0,0.0,0.0,0.0,0.0,114.0,370.0,256.0
99552.0,84.0,134.0,25.0,57.0,17.0,0.0,0.0,0.0,0.0,131.0,448.0,317.0
99463.0,95.0,171.0,31.0,68.0,20.0,0.0,0.0,0.0,0.0,152.0,537.0,385.0
99379.0,110.0,183.0,36.0,92.0,17.0,0.0,0.0,0.0,0.0,183.0,621.0,438.0
99271.0,133.0,212.0,41.0,105.0,22.0,0.0,0.0,0.0,0.0,216.0,729.0,513.0
99152.0,155.0,239.0,42.0,132.0,28.0,0.0,0.0,0.0,0.0,252.0,848.0,596.0
98986.0,198.0,286.0,50.0,157.0,36.0,0.0,0.0,0.0,0.0,287.0,1014.0,727.0
