SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99994.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99992.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
99990.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99987.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,12.0
99984.0,4.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,14.0
99979.0,6.0,4.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,21.0,19.0
99972.0,7.0,8.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,28.0,24.0
99969.0,8.0,8.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,31.0,25.0
99964.0,6.0,9.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,36.0,25.0
99959.0,7.0,8.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,13.0,41.0,28.0
99953.0,7.0,12.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,13.0,47.0,34.0
99942.0,11.0,14.0,5.0,9.0,5.0,0.0,0.0,0.0,0.0,14.0,58.0,44.0
99921.0,12.0,30.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,19.0,79.0,60.0
99902.0,16.0,36.0,7.0,9.0,6.0,0.0,0.0,0.0,0.0,24.0,98.0,74.0
99891.0,18.0,38.0,5.0,13.0,5.0,0.0,0.0,0.0,0.0,30.0,109.0,79.0
99873.0,22.0,39.0,7.0,18.0,5.0,0.0,0.0,0.0,0.0,36.0,127.0,91.0
99842.0,29.0,47.0,4.0,26.0,7.0,0.0,0.0,0.0,0.0,45.0,158.0,113.0
99809.0,38.0,57.0,6.0,34.0,5.0,1.0,0.0,0.0,0.0,50.0,191.0,141.0
99753.0,55.0,74.0,11.0,39.0,6.0,1.0,0.0,0.0,0.0,61.0,247.0,186.0
99698.0,68.0,95.0,13.0,40.0,6.0,1.0,0.0,0.0,0.0,79.0,302.0,223.0
99642.0,79.0,115.0,14.0,45.0,7.0,1.0,0.0,0.0,0.0,97.0,358.0,261.0
99573.0,89.0,135.0,19.0,57.0,7.0,1.0,0.0,1.0,0.0,118.0,427.0,308.0
99485.0,108.0,165.0,20.0,64.0,10.0,2.0,0.0,1.0,0.0,145.0,515.0,369.0
99398.0,131.0,184.0,22.0,88.0,18.0,1.0,0.0,1.0,0.0,157.0,602.0,444.0
99290.0,146.0,202.0,35.0,108.0,17.0,0.0,0.0,2.0,0.0,200.0,710.0,508.0
99169.0,170.0,239.0,43.0,121.0,17.0,0.0,0.0,2.0,0.0,239.0,831.0,590.0
99005.0,198.0,294.0,49.0,141.0,18.0,1.0,0.0,2.0,0.0,292.0,995.0,701.0
98833.0,237.0,332.0,58.0,170.0,28.0,0.0,0.0,2.0,0.0,340.0,1167.0,825.0
98657.0,263.0,365.0,66.0,208.0,34.0,3.0,0.0,2.0,0.0,402.0,1343.0,939.0
98424.0,305.0,424.0,77.0,259.0,43.0,4.0,0.0,2.0,0.0,462.0,1576.0,1112.0
