SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99993.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0
99991.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0
99990.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0
99989.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99987.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0
99984.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,16.0,10.0
99983.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,17.0,10.0
99982.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,18.0,10.0
99979.0,4.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,21.0,11.0
99978.0,5.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,22.0,12.0
99972.0,6.0,6.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,10.0,28.0,18.0
99966.0,7.0,8.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,13.0,34.0,21.0
99963.0,8.0,8.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,14.0,37.0,23.0
99960.0,8.0,8.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,15.0,40.0,24.0
99954.0,10.0,10.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,16.0,46.0,29.0
99945.0,9.0,15.0,2.0,7.0,3.0,1.0,0.0,1.0,0.0,17.0,55.0,37.0
99924.0,12.0,29.0,2.0,8.0,2.0,1.0,0.0,1.0,0.0,21.0,76.0,54.0
99914.0,16.0,27.0,4.0,11.0,2.0,1.0,0.0,1.0,0.0,24.0,86.0,61.0
99900.0,19.0,30.0,6.0,13.0,4.0,1.0,0.0,1.0,0.0,26.0,100.0,73.0
99880.0,23.0,35.0,7.0,21.0,2.0,0.0,0.0,2.0,0.0,30.0,120.0,88.0
99858.0,27.0,39.0,7.0,26.0,3.0,0.0,0.0,2.0,0.0,38.0,142.0,102.0
99815.0,41.0,53.0,10.0,27.0,5.0,0.0,0.0,2.0,0.0,47.0,185.0,136.0
99779.0,50.0,64.0,11.0,28.0,7.0,0.0,0.0,2.0,0.0,59.0,221.0,160.0
99731.0,59.0,85.0,9.0,33.0,10.0,0.0,0.0,2.0,0.0,71.0,269.0,196.0
99681.0,73.0,95.0,12.0,40.0,11.0,1.0,0.0,2.0,0.0,85.0,319.0,232.0
99611.0,90.0,118.0,17.0,52.0,10.0,0.0,0.0,2.0,0.0,100.0,389.0,287.0
99532.0,106.0,147.0,19.0,60.0,11.0,1.0,0.0,2.0,0.0,122.0,468.0,344.0
99457.0,121.0,169.0,19.0,78.0,13.0,0.0,0.0,2.0,0.0,141.0,543.0,400.0
