SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99989.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0
99984.0,5.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
99983.0,4.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,15.0
99980.0,5.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,16.0
99975.0,7.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,20.0
99964.0,10.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,30.0
99955.0,12.0,14.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,45.0,35.0
99948.0,13.0,15.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,13.0,52.0,39.0
99929.0,22.0,22.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,13.0,71.0,58.0
99917.0,23.0,28.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,18.0,83.0,65.0
99907.0,23.0,25.0,3.0,17.0,2.0,0.0,0.0,0.0,0.0,23.0,93.0,70.0
99882.0,28.0,34.0,5.0,19.0,3.0,0.0,0.0,0.0,0.0,29.0,118.0,89.0
99859.0,32.0,41.0,5.0,22.0,3.0,0.0,0.0,0.0,0.0,38.0,141.0,103.0
99834.0,35.0,48.0,9.0,25.0,3.0,0.0,0.0,0.0,0.0,46.0,166.0,120.0
99806.0,41.0,57.0,10.0,23.0,3.0,0.0,0.0,0.0,0.0,60.0,194.0,134.0
99781.0,43.0,57.0,11.0,33.0,4.0,0.0,0.0,0.0,0.0,71.0,219.0,148.0
99741.0,49.0,66.0,13.0,39.0,8.0,0.0,0.0,0.0,0.0,84.0,259.0,175.0
99676.0,63.0,91.0,17.0,48.0,7.0,0.0,0.0,0.0,0.0,98.0,324.0,226.0
99620.0,76.0,109.0,18.0,51.0,7.0,0.0,0.0,0.0,0.0,119.0,380.0,261.0
99557.0,87.0,124.0,25.0,58.0,8.0,0.0,0.0,0.0,0.0,141.0,443.0,302.0
99486.0,91.0,141.0,28.0,73.0,16.0,0.0,0.0,0.0,0.0,165.0,514.0,349.0
99389.0,111.0,178.0,36.0,79.0,17.0,0.0,0.0,0.0,0.0,190.0,611.0,421.0
99267.0,128.0,215.0,47.0,103.0,21.0,0.0,0.0,0.0,0.0,219.0,733.0,514.0
99160.0,155.0,223.0,55.0,122.0,27.0,0.0,0.0,0.0,0.0,258.0,840.0,582.0
99016.0,182.0,250.0,57.0,149.0,39.0,0.0,0.0,0.0,0.0,307.0,984.0,677.0
98808.0,239.0,312.0,67.0,162.0,48.0,3.0,0.0,0.0,0.0,361.0,1192.0,831.0
98598.0,292.0,358.0,76.0,200.0,50.0,6.0,0.0,0.0,0.0,420.0,1402.0,982.0
98334.0,346.0,440.0,72.0,229.0,63.0,9.0,0.0,0.0,0.0,507.0,1666.0,1159.0
98040.0,387.0,540.0,82.0,272.0,71.0,4.0,1.0,2.0,0.0,601.0,1960.0,1357.0
