SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99990.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99987.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,11.0
99986.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,11.0
99984.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,13.0
99982.0,6.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,15.0
99974.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,21.0
99966.0,9.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,34.0,25.0
99961.0,10.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,39.0,28.0
99958.0,10.0,9.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,12.0,42.0,30.0
99946.0,14.0,15.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,13.0,54.0,41.0
99931.0,16.0,20.0,5.0,9.0,2.0,0.0,0.0,0.0,0.0,17.0,69.0,52.0
99920.0,16.0,25.0,5.0,9.0,3.0,0.0,0.0,0.0,0.0,22.0,80.0,58.0
99901.0,20.0,34.0,4.0,11.0,3.0,0.0,0.0,0.0,0.0,27.0,99.0,72.0
99875.0,28.0,37.0,6.0,17.0,4.0,0.0,0.0,0.0,0.0,33.0,125.0,92.0
99854.0,30.0,46.0,6.0,25.0,5.0,0.0,0.0,0.0,0.0,34.0,146.0,112.0
99823.0,41.0,55.0,7.0,29.0,6.0,0.0,0.0,0.0,0.0,39.0,177.0,138.0
99781.0,50.0,68.0,8.0,33.0,7.0,0.0,0.0,0.0,0.0,53.0,219.0,166.0
99737.0,60.0,81.0,11.0,41.0,6.0,1.0,0.0,0.0,0.0,63.0,263.0,200.0
99688.0,74.0,92.0,13.0,47.0,7.0,0.0,0.0,0.0,0.0,79.0,312.0,233.0
99623.0,84.0,115.0,12.0,58.0,9.0,1.0,0.0,0.0,0.0,98.0,377.0,279.0
99549.0,95.0,137.0,18.0,74.0,9.0,1.0,0.0,0.0,0.0,117.0,451.0,334.0
99453.0,115.0,174.0,22.0,80.0,12.0,0.0,0.0,0.0,0.0,144.0,547.0,403.0
99354.0,138.0,196.0,30.0,98.0,13.0,1.0,0.0,0.0,0.0,170.0,646.0,476.0
99232.0,153.0,220.0,38.0,124.0,17.0,0.0,0.0,0.0,0.0,216.0,768.0,552.0
99094.0,177.0,260.0,40.0,151.0,25.0,0.0,0.0,0.0,0.0,253.0,906.0,653.0
98941.0,218.0,269.0,55.0,180.0,27.0,1.0,0.0,0.0,0.0,309.0,1059.0,750.0
98746.0,269.0,315.0,64.0,201.0,28.0,3.0,0.0,0.0,0.0,374.0,1254.0,880.0
98513.0,321.0,378.0,68.0,212.0,45.0,1.0,0.0,0.0,0.0,462.0,1487.0,1025.0
98250.0,361.0,479.0,80.0,221.0,52.0,2.0,0.0,0.0,0.0,555.0,1750.0,1195.0
