SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99992.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
99986.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0
99985.0,7.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0
99982.0,7.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,17.0,0.0,0.0
99977.0,5.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,19.0,0.0,0.0
99970.0,7.0,10.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,30.0,25.0,0.0,0.0
99965.0,8.0,9.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,7.0,35.0,28.0,0.0,0.0
99960.0,9.0,9.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,10.0,40.0,30.0,0.0,0.0
99951.0,13.0,11.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,12.0,49.0,37.0,0.0,0.0
99936.0,17.0,14.0,6.0,10.0,3.0,0.0,0.0,0.0,0.0,14.0,64.0,50.0,0.0,0.0
99919.0,20.0,24.0,7.0,10.0,3.0,0.0,0.0,0.0,0.0,17.0,81.0,64.0,0.0,0.0
99901.0,26.0,30.0,7.0,10.0,3.0,1.0,0.0,0.0,0.0,22.0,99.0,77.0,0.0,0.0
99883.0,24.0,35.0,11.0,14.0,5.0,1.0,0.0,0.0,0.0,27.0,117.0,90.0,0.0,0.0
99849.0,29.0,46.0,13.0,21.0,8.0,1.0,0.0,0.0,0.0,33.0,151.0,118.0,0.0,0.0
99819.0,37.0,55.0,15.0,24.0,7.0,1.0,0.0,1.0,0.0,41.0,181.0,139.0,0.0,0.0
99785.0,44.0,60.0,17.0,26.0,10.0,1.0,0.0,1.0,0.0,56.0,215.0,158.0,0.0,0.0
99748.0,53.0,67.0,18.0,33.0,11.0,1.0,0.0,1.0,0.0,68.0,252.0,183.0,0.0,0.0
99694.0,68.0,83.0,17.0,38.0,14.0,1.0,0.0,1.0,0.0,84.0,306.0,221.0,0.0,0.0
99637.0,83.0,98.0,19.0,52.0,15.0,0.0,0.0,2.0,0.0,94.0,363.0,267.0,0.0,0.0
99559.0,105.0,121.0,20.0,60.0,17.0,0.0,0.0,2.0,0.0,116.0,441.0,323.0,0.0,0.0
99482.0,127.0,143.0,22.0,64.0,19.0,1.0,0.0,2.0,0.0,140.0,518.0,376.0,0.0,0.0
99375.0,154.0,167.0,29.0,92.0,20.0,2.0,0.0,2.0,0.0,159.0,625.0,464.0,0.0,0.0
99250.0,174.0,212.0,34.0,104.0,23.0,1.0,0.0,2.0,0.0,200.0,750.0,548.0,0.0,0.0
99111.0,198.0,259.0,40.0,118.0,26.0,2.0,0.0,2.0,0.0,244.0,889.0,643.0,0.0,0.0
98949.0,232.0,301.0,43.0,148.0,30.0,0.0,0.0,3.0,0.0,294.0,1051.0,754.0,0.0,0.0
98726.0,275.0,370.0,61.0,176.0,34.0,2.0,0.0,3.0,0.0,353.0,1274.0,918.0,0.0,0.0
98458.0,319.0,449.0,82.0,216.0,39.0,3.0,0.0,3.0,0.0,431.0,1542.0,1108.0,0.0,0.0
98193.0,361.0,523.0,92.0,265.0,44.0,4.0,0.0,3.0,0.0,515.0,1807.0,1289.0,0.0,0.0
97873.0,416.0,623.0,95.0,320.0,55.0,0.0,0.0,4.0,0.0,614.0,2127.0,1509.0,0.0,0.0
97473.0,508.0,719.0,115.0,378.0,57.0,0.0,0.0,4.0,0.0,746.0,2527.0,1777.0,0.0,0.0
96929.0,636.0,868.0,152.0,440.0,73.0,3.0,0.0,4.0,0.0,895.0,3071.0,2172.0,0.0,0.0
96292.0,795.0,1060.0,185.0,503.0,94.0,2.0,0.0,4.0,0.0,1065.0,3708.0,2639.0,0.0,0.0
95622.0,934.0,1228.0,226.0,603.0,118.0,5.0,0.0,4.0,0.0,1260.0,4378.0,3114.0,0.0,0.0
94822.0,1119.0,1405.0,275.0,730.0,150.0,4.0,1.0,5.0,0.0,1489.0,5178.0,3684.0,0.0,0.0
93817.0,1293.0,1701.0,326.0,895.0,167.0,9.0,0.0,6.0,0.0,1786.0,6183.0,4391.0,0.0,0.0
92675.0,1491.0,2058.0,393.0,1033.0,206.0,9.0,0.0,7.0,0.0,2128.0,7325.0,5190.0,0.0,0.0
91390.0,1746.0,2395.0,430.0,1193.0,252.0,8.0,1.0,8.0,0.0,2577.0,8610.0,6025.0,0.0,0.0
89918.0,2018.0,2735.0,530.0,1423.0,304.0,9.0,1.0,10.0,0.0,3052.0,10082.0,7020.0,0.0,0.0
88171.0,2335.0,3160.0,640.0,1726.0,360.0,16.0,1.0,11.0,1.0,3579.0,11829.0,8239.0,0.0,0.0
86147.0,2683.0,3681.0,754.0,2028.0,427.0,19.0,0.0,14.0,0.0,4247.0,13853.0,9592.0,0.0,0.0
83826.0,3119.0,4246.0,881.0,2342.0,499.0,21.0,1.0,15.0,0.0,5050.0,16174.0,11109.0,0.0,0.0
81334.0,3569.0,4830.0,946.0,2655.0,599.0,37.0,1.0,16.0,1.0,6012.0,18666.0,12638.0,0.0,0.0
78619.0,3959.0,5472.0,1024.0,3057.0,698.0,40.0,1.0,21.0,0.0,7109.0,21381.0,14251.0,0.0,0.0
75544.0,4414.0,6072.0,1138.0,3606.0,781.0,44.0,2.0,22.0,0.0,8377.0,24456.0,16057.0,0.0,0.0
72195.0,4947.0,6691.0,1221.0,4132.0,883.0,53.0,4.0,28.0,2.0,9844.0,27805.0,17933.0,0.0,0.0
68672.0,5430.0,7259.0,1270.0,4802.0,1016.0,60.0,2.0,39.0,0.0,11450.0,31328.0,19839.0,0.0,0.0
65039.0,5869.0,7803.0,1359.0,5310.0,1112.0,51.0,1.0,49.0,0.0,13407.0,34961.0,21505.0,0.0,0.0
61233.0,6334.0,8271.0,1390.0,5855.0,1273.0,68.0,8.0,57.0,0.0,15511.0,38767.0,23199.0,0.0,0.0
57447.0,6710.0,8578.0,1436.0,6343.0,1327.0,95.0,3.0,65.0,3.0,17993.0,42553.0,24495.0,0.0,0.0
53730.0,6988.0,8697.0,1428.0,6892.0,1437.0,97.0,7.0,74.0,0.0,20650.0,46270.0,25546.0,0.0,0.0
50059.0,7145.0,8757.0,1444.0,7340.0,1482.0,114.0,5.0,88.0,2.0,23564.0,49941.0,26289.0,0.0,0.0
46556.0,7256.0,8630.0,1464.0,7695.0,1528.0,140.0,5.0,105.0,1.0,26620.0,53444.0,26719.0,0.0,0.0
43172.0,7312.0,8406.0,1384.0,7948.0,1601.0,141.0,7.0,125.0,1.0,29903.0,56828.0,26800.0,0.0,0.0
40113.0,7220.0,7967.0,1261.0,8122.0,1635.0,179.0,5.0,146.0,3.0,33349.0,59887.0,26392.0,0.0,0.0
37228.0,6979.0,7593.0,1179.0,8055.0,1623.0,174.0,8.0,173.0,1.0,36987.0,62772.0,25612.0,0.0,0.0
34686.0,6656.0,7002.0,1106.0,7980.0,1534.0,192.0,7.0,200.0,1.0,40636.0,65314.0,24478.0,0.0,0.0
32402.0,6273.0,6461.0,978.0,7703.0,1478.0,184.0,9.0,234.0,1.0,44277.0,67598.0,23087.0,0.0,0.0
30453.0,5806.0,5793.0,875.0,7384.0,1413.0,171.0,10.0,268.0,1.0,47826.0,69547.0,21453.0,0.0,0.0
28707.0,5289.0,5167.0,757.0,6973.0,1325.0,166.0,11.0,296.0,1.0,51308.0,71293.0,19689.0,0.0,0.0
27181.0,4802.0,4546.0,665.0,6484.0,1236.0,180.0,7.0,331.0,3.0,54565.0,72819.0,17923.0,0.0,0.0
25824.0,4276.0,4021.0,606.0,5862.0,1110.0,177.0,12.0,362.0,1.0,57749.0,74176.0,16065.0,0.0,0.0
24673.0,3779.0,3470.0,561.0,5370.0,974.0,169.0,11.0,384.0,3.0,60606.0,75327.0,14337.0,0.0,0.0
23742.0,3290.0,3022.0,480.0,4685.0,876.0,150.0,15.0,414.0,4.0,63322.0,76258.0,12522.0,0.0,0.0
22953.0,2867.0,2561.0,404.0,4185.0,794.0,136.0,12.0,444.0,3.0,65641.0,77047.0,10962.0,0.0,0.0
22280.0,2450.0,2193.0,323.0,3664.0,697.0,145.0,5.0,471.0,2.0,67770.0,77720.0,9479.0,0.0,0.0
21712.0,2124.0,1867.0,262.0,3206.0,635.0,126.0,11.0,498.0,1.0,69558.0,78288.0,8232.0,0.0,0.0
21244.0,1801.0,1549.0,211.0,2776.0,560.0,113.0,7.0,522.0,2.0,71215.0,78756.0,7019.0,0.0,0.0
20850.0,1521.0,1306.0,186.0,2377.0,458.0,102.0,8.0,547.0,2.0,72643.0,79150.0,5960.0,0.0,0.0
20519.0,1289.0,1127.0,160.0,2030.0,383.0,82.0,7.0,573.0,1.0,73829.0,79481.0,5079.0,0.0,0.0
20203.0,1098.0,950.0,131.0,1734.0,317.0,73.0,7.0,586.0,3.0,74898.0,79797.0,4313.0,0.0,0.0
19951.0,935.0,797.0,98.0,1460.0,251.0,62.0,7.0,600.0,1.0,75838.0,80049.0,3611.0,0.0,0.0
19740.0,799.0,698.0,79.0,1191.0,223.0,49.0,4.0,611.0,5.0,76601.0,80260.0,3048.0,0.0,0.0
19598.0,669.0,584.0,57.0,1018.0,182.0,41.0,1.0,624.0,2.0,77224.0,80402.0,2554.0,0.0,0.0
19442.0,578.0,477.0,48.0,870.0,153.0,26.0,6.0,625.0,1.0,77774.0,80558.0,2159.0,0.0,0.0
19335.0,481.0,379.0,41.0,775.0,128.0,27.0,4.0,634.0,0.0,78196.0,80665.0,1835.0,0.0,0.0
19238.0,407.0,300.0,36.0,649.0,96.0,29.0,3.0,641.0,1.0,78600.0,80762.0,1521.0,0.0,0.0
19168.0,338.0,247.0,33.0,533.0,76.0,24.0,2.0,646.0,1.0,78932.0,80832.0,1254.0,0.0,0.0
19108.0,281.0,201.0,32.0,433.0,57.0,18.0,1.0,653.0,0.0,79216.0,80892.0,1023.0,0.0,0.0
19059.0,239.0,159.0,25.0,350.0,47.0,15.0,2.0,659.0,0.0,79445.0,80941.0,837.0,0.0,0.0
19005.0,193.0,152.0,23.0,280.0,38.0,14.0,1.0,661.0,0.0,79633.0,80995.0,701.0,0.0,0.0
18957.0,157.0,141.0,19.0,233.0,35.0,9.0,1.0,665.0,1.0,79782.0,81043.0,596.0,0.0,0.0
18920.0,133.0,120.0,13.0,190.0,36.0,4.0,0.0,669.0,0.0,79915.0,81080.0,496.0,0.0,0.0
18889.0,111.0,101.0,15.0,165.0,28.0,5.0,0.0,670.0,0.0,80016.0,81111.0,425.0,0.0,0.0
18876.0,91.0,77.0,13.0,153.0,23.0,1.0,0.0,671.0,0.0,80095.0,81124.0,358.0,0.0,0.0
18861.0,66.0,68.0,10.0,121.0,22.0,5.0,0.0,671.0,0.0,80176.0,81139.0,292.0,0.0,0.0
18845.0,57.0,51.0,7.0,106.0,23.0,3.0,0.0,671.0,0.0,80237.0,81155.0,247.0,0.0,0.0
18825.0,49.0,43.0,5.0,89.0,19.0,4.0,0.0,671.0,0.0,80295.0,81175.0,209.0,0.0,0.0
18806.0,40.0,46.0,4.0,74.0,18.0,2.0,0.0,672.0,0.0,80338.0,81194.0,184.0,0.0,0.0
18798.0,35.0,35.0,5.0,70.0,10.0,4.0,1.0,672.0,0.0,80370.0,81202.0,160.0,0.0,0.0
18789.0,34.0,30.0,3.0,57.0,10.0,2.0,0.0,672.0,1.0,80402.0,81211.0,137.0,0.0,0.0
18782.0,32.0,29.0,3.0,44.0,6.0,2.0,0.0,672.0,0.0,80430.0,81218.0,116.0,0.0,0.0
