SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99994.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0
99993.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,0.0
99992.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,0.0,1.0,0.0
99990.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,0.0,0.0,0.0
99987.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,10.0,0.0,2.0,0.0
99985.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,0.0,2.0,0.0
99984.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,11.0,0.0,3.0,0.0
99981.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,13.0,0.0,2.0,0.0
99978.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,15.0,0.0,4.0,0.0
99978.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,15.0,0.0,2.0,0.0
99976.0,7.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,15.0,0.0,4.0,0.0
99974.0,8.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,17.0,0.0,3.0,0.0
99971.0,7.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,13.0,29.0,16.0,0.0,3.0,0.0
99969.0,6.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,16.0,31.0,15.0,0.0,3.0,0.0
99966.0,4.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,19.0,34.0,15.0,0.0,3.0,0.0
99960.0,5.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,22.0,40.0,18.0,0.0,1.0,0.0
99959.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,41.0,17.0,0.0,1.0,0.0
99956.0,5.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,25.0,44.0,19.0,0.0,4.0,0.0
99952.0,3.0,10.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,27.0,48.0,21.0,0.0,2.0,0.0
99949.0,3.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,30.0,51.0,21.0,0.0,6.0,0.0
99943.0,6.0,9.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,30.0,57.0,27.0,0.0,6.0,0.0
99933.0,6.0,14.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,33.0,67.0,34.0,0.0,6.0,0.0
99928.0,8.0,14.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0,35.0,72.0,37.0,0.0,7.0,0.0
99917.0,10.0,19.0,4.0,9.0,2.0,1.0,0.0,0.0,0.0,38.0,83.0,45.0,0.0,7.0,0.0
99913.0,10.0,17.0,1.0,12.0,5.0,1.0,0.0,0.0,0.0,41.0,87.0,46.0,0.0,9.0,0.0
99896.0,17.0,22.0,3.0,12.0,4.0,2.0,0.0,0.0,0.0,44.0,104.0,60.0,0.0,8.0,0.0
99885.0,16.0,26.0,3.0,13.0,4.0,0.0,0.0,1.0,0.0,52.0,115.0,62.0,0.0,13.0,0.0
99864.0,24.0,36.0,4.0,12.0,2.0,0.0,0.0,1.0,0.0,57.0,136.0,78.0,0.0,5.0,0.0
99853.0,27.0,33.0,4.0,16.0,3.0,0.0,0.0,1.0,0.0,63.0,147.0,83.0,0.0,10.0,0.0
99831.0,35.0,34.0,3.0,21.0,4.0,0.0,0.0,1.0,0.0,71.0,169.0,97.0,0.0,17.0,0.0
99806.0,44.0,32.0,8.0,30.0,3.0,1.0,0.0,1.0,0.0,75.0,194.0,118.0,0.0,21.0,0.0
99774.0,51.0,45.0,9.0,34.0,3.0,1.0,0.0,1.0,0.0,82.0,226.0,143.0,0.0,20.0,0.0
99738.0,52.0,67.0,10.0,29.0,4.0,1.0,0.0,1.0,0.0,98.0,262.0,163.0,0.0,19.0,0.0
99700.0,54.0,82.0,14.0,32.0,3.0,0.0,0.0,2.0,0.0,113.0,300.0,185.0,0.0,21.0,0.0
99654.0,58.0,87.0,18.0,44.0,5.0,1.0,0.0,2.0,0.0,131.0,346.0,213.0,0.0,37.0,0.0
99611.0,61.0,94.0,15.0,50.0,11.0,1.0,0.0,2.0,0.0,155.0,389.0,232.0,0.0,36.0,0.0
99552.0,75.0,109.0,13.0,63.0,15.0,1.0,0.0,2.0,0.0,170.0,448.0,276.0,0.0,42.0,0.0
99469.0,94.0,126.0,17.0,80.0,18.0,0.0,1.0,2.0,0.0,193.0,531.0,336.0,0.0,61.0,0.0
99387.0,111.0,157.0,23.0,82.0,18.0,0.0,0.0,3.0,0.0,219.0,613.0,391.0,0.0,57.0,0.0
