SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99994.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
99993.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0,0.0
99987.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,11.0,0.0,0.0,0.0
99986.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,11.0,0.0,0.0,0.0
99986.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,14.0,9.0,0.0,0.0,0.0
99985.0,4.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,15.0,10.0,0.0,0.0,0.0
99982.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,18.0,12.0,0.0,0.0,0.0
99973.0,4.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,27.0,19.0,0.0,0.0,0.0
99967.0,6.0,11.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,33.0,24.0,0.0,0.0,0.0
99958.0,8.0,17.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,42.0,31.0,0.0,0.0,0.0
99952.0,8.0,20.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,11.0,48.0,37.0,0.0,0.0,0.0
99946.0,10.0,20.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0,12.0,54.0,42.0,0.0,0.0,0.0
99931.0,14.0,22.0,3.0,14.0,2.0,1.0,0.0,0.0,0.0,13.0,69.0,56.0,0.0,0.0,0.0
99912.0,18.0,27.0,6.0,17.0,1.0,1.0,0.0,0.0,0.0,18.0,88.0,70.0,0.0,0.0,0.0
99884.0,27.0,40.0,8.0,14.0,1.0,0.0,1.0,0.0,0.0,25.0,116.0,91.0,0.0,0.0,0.0
99856.0,34.0,47.0,11.0,20.0,3.0,0.0,0.0,1.0,0.0,28.0,144.0,115.0,0.0,0.0,0.0
99833.0,41.0,54.0,10.0,22.0,5.0,0.0,0.0,1.0,0.0,34.0,167.0,132.0,0.0,0.0,0.0
99799.0,46.0,66.0,10.0,30.0,7.0,0.0,0.0,1.0,0.0,41.0,201.0,159.0,0.0,0.0,0.0
99754.0,49.0,84.0,11.0,39.0,8.0,0.0,0.0,1.0,0.0,54.0,246.0,191.0,0.0,0.0,0.0
99705.0,58.0,106.0,12.0,39.0,10.0,0.0,0.0,1.0,0.0,69.0,295.0,225.0,0.0,0.0,0.0
99652.0,61.0,111.0,16.0,54.0,11.0,0.0,0.0,1.0,0.0,94.0,348.0,253.0,0.0,0.0,0.0
99589.0,79.0,124.0,17.0,67.0,8.0,1.0,0.0,1.0,0.0,114.0,411.0,296.0,0.0,0.0,0.0
99505.0,103.0,137.0,24.0,84.0,11.0,1.0,0.0,1.0,0.0,134.0,495.0,360.0,0.0,0.0,0.0
99407.0,128.0,157.0,29.0,100.0,13.0,3.0,0.0,1.0,0.0,162.0,593.0,430.0,0.0,0.0,0.0
99295.0,157.0,180.0,38.0,116.0,14.0,0.0,0.0,2.0,0.0,198.0,705.0,505.0,0.0,0.0,0.0
99150.0,191.0,217.0,49.0,134.0,19.0,0.0,0.0,2.0,0.0,238.0,850.0,610.0,0.0,0.0,0.0
98973.0,230.0,282.0,59.0,139.0,22.0,0.0,0.0,2.0,0.0,293.0,1027.0,732.0,0.0,0.0,0.0
98788.0,266.0,339.0,68.0,159.0,34.0,0.0,0.0,2.0,0.0,344.0,1212.0,866.0,0.0,0.0,0.0
98546.0,315.0,410.0,79.0,191.0,43.0,0.0,0.0,2.0,0.0,414.0,1454.0,1038.0,0.0,0.0,0.0
98283.0,373.0,469.0,88.0,237.0,50.0,1.0,0.0,2.0,0.0,497.0,1717.0,1218.0,0.0,0.0,0.0
97893.0,443.0,611.0,110.0,303.0,61.0,1.0,0.0,2.0,0.0,576.0,2107.0,1529.0,0.0,0.0,0.0
97476.0,539.0,734.0,136.0,347.0,75.0,4.0,0.0,2.0,0.0,687.0,2524.0,1835.0,0.0,0.0,0.0
96977.0,623.0,897.0,170.0,403.0,85.0,6.0,0.0,2.0,0.0,837.0,3023.0,2184.0,0.0,0.0,0.0
96442.0,724.0,1034.0,187.0,501.0,102.0,12.0,0.0,3.0,0.0,995.0,3558.0,2560.0,0.0,0.0,0.0
95764.0,870.0,1207.0,221.0,607.0,127.0,7.0,1.0,4.0,0.0,1192.0,4236.0,3040.0,0.0,0.0,0.0
94927.0,1080.0,1390.0,270.0,742.0,158.0,11.0,1.0,6.0,0.0,1415.0,5073.0,3652.0,0.0,0.0,0.0
