SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99994.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
99993.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
99992.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0
99985.0,6.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0
99981.0,5.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,16.0,0.0,0.0,0.0
99981.0,3.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,19.0,14.0,0.0,0.0,0.0
99979.0,4.0,4.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,21.0,16.0,0.0,0.0,0.0
99974.0,6.0,5.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,26.0,20.0,0.0,0.0,0.0
99966.0,9.0,7.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,34.0,26.0,0.0,0.0,0.0
99958.0,11.0,10.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,10.0,42.0,32.0,0.0,0.0,0.0
99951.0,14.0,12.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,13.0,49.0,36.0,0.0,0.0,0.0
99939.0,15.0,19.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,16.0,61.0,45.0,0.0,0.0,0.0
99929.0,16.0,21.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,20.0,71.0,51.0,0.0,0.0,0.0
99912.0,17.0,34.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,22.0,88.0,66.0,0.0,0.0,0.0
99901.0,18.0,35.0,2.0,11.0,3.0,0.0,0.0,0.0,0.0,30.0,99.0,69.0,0.0,0.0,0.0
99880.0,18.0,36.0,6.0,20.0,2.0,0.0,0.0,0.0,0.0,38.0,120.0,82.0,0.0,0.0,0.0
99854.0,23.0,48.0,9.0,23.0,1.0,0.0,0.0,0.0,0.0,42.0,146.0,104.0,0.0,0.0,0.0
99823.0,30.0,53.0,9.0,33.0,2.0,1.0,0.0,0.0,0.0,49.0,177.0,128.0,0.0,0.0,0.0
99788.0,39.0,65.0,14.0,31.0,3.0,0.0,0.0,0.0,0.0,60.0,212.0,152.0,0.0,0.0,0.0
99759.0,46.0,62.0,14.0,38.0,8.0,0.0,0.0,0.0,0.0,73.0,241.0,168.0,0.0,0.0,0.0
99706.0,52.0,82.0,18.0,45.0,9.0,0.0,0.0,0.0,0.0,88.0,294.0,206.0,0.0,0.0,0.0
99647.0,68.0,98.0,21.0,54.0,13.0,0.0,0.0,0.0,0.0,99.0,353.0,254.0,0.0,0.0,0.0
99587.0,84.0,112.0,23.0,55.0,16.0,0.0,0.0,0.0,0.0,123.0,413.0,290.0,0.0,0.0,0.0
99500.0,100.0,133.0,31.0,68.0,18.0,0.0,0.0,0.0,0.0,150.0,500.0,350.0,0.0,0.0,0.0
99397.0,129.0,159.0,40.0,83.0,22.0,0.0,0.0,0.0,0.0,170.0,603.0,433.0,0.0,0.0,0.0
99276.0,152.0,203.0,50.0,94.0,27.0,2.0,0.0,0.0,0.0,196.0,724.0,528.0,0.0,0.0,0.0
99126.0,173.0,247.0,62.0,124.0,28.0,2.0,0.0,0.0,0.0,238.0,874.0,636.0,0.0,0.0,0.0
98952.0,220.0,291.0,70.0,153.0,35.0,2.0,0.0,0.0,0.0,277.0,1048.0,771.0,0.0,0.0,0.0
98722.0,258.0,383.0,82.0,162.0,40.0,1.0,0.0,0.0,0.0,352.0,1278.0,926.0,0.0,0.0,0.0
98499.0,310.0,429.0,80.0,209.0,53.0,5.0,0.0,0.0,0.0,415.0,1501.0,1086.0,0.0,0.0,0.0
98203.0,358.0,534.0,95.0,241.0,67.0,3.0,0.0,1.0,0.0,498.0,1797.0,1298.0,0.0,0.0,0.0
97847.0,442.0,636.0,119.0,297.0,69.0,6.0,0.0,1.0,0.0,583.0,2153.0,1569.0,0.0,0.0,0.0
97427.0,517.0,758.0,158.0,349.0,72.0,6.0,1.0,2.0,0.0,710.0,2573.0,1861.0,0.0,0.0,0.0
96941.0,633.0,872.0,175.0,424.0,85.0,6.0,0.0,2.0,1.0,861.0,3059.0,2196.0,0.0,0.0,0.0
96367.0,735.0,1023.0,195.0,519.0,111.0,7.0,0.0,4.0,0.0,1039.0,3633.0,2590.0,0.0,0.0,0.0
95667.0,872.0,1216.0,246.0,641.0,132.0,8.0,0.0,5.0,0.0,1213.0,4333.0,3115.0,0.0,0.0,0.0
94834.0,1024.0,1468.0,296.0,745.0,152.0,10.0,0.0,5.0,0.0,1466.0,5166.0,3695.0,0.0,0.0,0.0
