SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99994.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,2.0,0.0
99990.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,1.0,0.0
99986.0,7.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,1.0,0.0
99982.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,15.0,0.0,0.0,0.0
99979.0,8.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,21.0,18.0,0.0,1.0,0.0
99978.0,8.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,22.0,19.0,0.0,3.0,0.0
99974.0,7.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,26.0,22.0,0.0,2.0,0.0
99970.0,5.0,11.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,6.0,30.0,24.0,0.0,7.0,0.0
99964.0,5.0,10.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,9.0,36.0,27.0,0.0,6.0,0.0
99950.0,7.0,14.0,6.0,11.0,2.0,0.0,0.0,0.0,0.0,10.0,50.0,40.0,0.0,5.0,0.0
99940.0,7.0,19.0,7.0,10.0,1.0,1.0,0.0,0.0,0.0,15.0,60.0,45.0,0.0,9.0,0.0
99936.0,7.0,22.0,5.0,9.0,2.0,1.0,0.0,0.0,0.0,18.0,64.0,46.0,0.0,4.0,0.0
99930.0,8.0,23.0,6.0,8.0,2.0,0.0,0.0,0.0,0.0,23.0,70.0,47.0,0.0,6.0,0.0
99917.0,11.0,24.0,6.0,10.0,4.0,0.0,0.0,0.0,0.0,28.0,83.0,55.0,0.0,10.0,0.0
99896.0,15.0,32.0,7.0,11.0,5.0,0.0,0.0,0.0,0.0,34.0,104.0,70.0,0.0,10.0,0.0
99875.0,18.0,41.0,8.0,16.0,4.0,0.0,0.0,0.0,0.0,38.0,125.0,87.0,0.0,10.0,0.0
99857.0,23.0,45.0,7.0,22.0,6.0,0.0,0.0,0.0,0.0,40.0,143.0,103.0,0.0,23.0,0.0
99838.0,28.0,44.0,7.0,30.0,4.0,1.0,0.0,0.0,0.0,48.0,162.0,114.0,0.0,21.0,0.0
99813.0,35.0,50.0,5.0,33.0,8.0,0.0,0.0,0.0,0.0,56.0,187.0,131.0,0.0,23.0,0.0
99763.0,43.0,70.0,9.0,40.0,7.0,0.0,0.0,0.0,0.0,68.0,237.0,169.0,0.0,31.0,0.0
99719.0,49.0,83.0,16.0,40.0,6.0,0.0,0.0,0.0,0.0,87.0,281.0,194.0,0.0,34.0,0.0
99688.0,56.0,88.0,18.0,48.0,5.0,1.0,0.0,0.0,0.0,96.0,312.0,216.0,0.0,29.0,0.0
99650.0,61.0,93.0,17.0,54.0,9.0,0.0,0.0,0.0,0.0,116.0,350.0,234.0,0.0,44.0,0.0
99595.0,65.0,112.0,16.0,57.0,15.0,0.0,0.0,0.0,0.0,140.0,405.0,265.0,0.0,44.0,0.0
99527.0,69.0,132.0,17.0,68.0,20.0,2.0,0.0,0.0,0.0,165.0,473.0,308.0,0.0,53.0,0.0
99432.0,93.0,159.0,22.0,87.0,19.0,1.0,0.0,0.0,0.0,187.0,568.0,381.0,0.0,60.0,0.0
99347.0,112.0,184.0,29.0,94.0,19.0,0.0,0.0,0.0,0.0,215.0,653.0,438.0,0.0,64.0,0.0
99248.0,122.0,204.0,34.0,111.0,18.0,0.0,0.0,0.0,0.0,263.0,752.0,489.0,0.0,80.0,0.0
99122.0,150.0,218.0,44.0,140.0,17.0,0.0,0.0,0.0,0.0,309.0,878.0,569.0,0.0,104.0,0.0
98994.0,184.0,236.0,46.0,168.0,27.0,1.0,0.0,0.0,0.0,344.0,1006.0,662.0,0.0,110.0,0.0
98823.0,232.0,279.0,55.0,182.0,24.0,4.0,0.0,0.0,0.0,401.0,1177.0,776.0,0.0,112.0,0.0
98619.0,272.0,344.0,57.0,201.0,38.0,5.0,0.0,0.0,0.0,464.0,1381.0,917.0,0.0,150.0,0.0
98398.0,322.0,400.0,68.0,230.0,47.0,4.0,0.0,0.0,0.0,531.0,1602.0,1071.0,0.0,158.0,0.0
98133.0,376.0,462.0,89.0,248.0,51.0,2.0,0.0,3.0,0.0,636.0,1867.0,1228.0,0.0,173.0,0.0
97829.0,425.0,581.0,91.0,265.0,64.0,2.0,0.0,4.0,0.0,739.0,2171.0,1428.0,0.0,204.0,0.0
97533.0,466.0,640.0,116.0,309.0,62.0,3.0,0.0,4.0,0.0,867.0,2467.0,1596.0,0.0,222.0,0.0
97161.0,515.0,719.0,135.0,391.0,79.0,3.0,0.0,5.0,0.0,992.0,2839.0,1842.0,0.0,290.0,0.0
