SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99994.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
99994.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
99994.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
99991.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
99988.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,0.0,0.0
99984.0,5.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,14.0,0.0,0.0
99983.0,5.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,14.0,0.0,0.0
99982.0,6.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,14.0,0.0,0.0
99975.0,5.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,25.0,18.0,0.0,0.0
99972.0,6.0,9.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,28.0,21.0,0.0,0.0
99965.0,8.0,9.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,35.0,25.0,0.0,0.0
99958.0,9.0,11.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,10.0,42.0,32.0,0.0,0.0
99948.0,9.0,18.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,11.0,52.0,41.0,0.0,0.0
99933.0,11.0,27.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,15.0,67.0,52.0,0.0,0.0
99919.0,16.0,28.0,4.0,9.0,3.0,0.0,0.0,0.0,0.0,21.0,81.0,60.0,0.0,0.0
99898.0,19.0,37.0,5.0,11.0,4.0,0.0,0.0,0.0,0.0,26.0,102.0,76.0,0.0,0.0
99878.0,23.0,42.0,6.0,18.0,3.0,0.0,0.0,0.0,0.0,30.0,122.0,92.0,0.0,0.0
99848.0,27.0,57.0,7.0,22.0,5.0,0.0,0.0,0.0,0.0,34.0,152.0,118.0,0.0,0.0
