SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99991.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0
99987.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,12.0,0.0,0.0,0.0
99986.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,12.0,0.0,0.0,0.0
99981.0,5.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,16.0,0.0,0.0,0.0
99978.0,5.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,18.0,0.0,0.0,0.0
99973.0,6.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,21.0,0.0,0.0,0.0
99963.0,10.0,10.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,37.0,29.0,0.0,0.0,333.0
99951.0,12.0,16.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,9.0,49.0,40.0,0.0,0.0,333.0
99943.0,14.0,18.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,11.0,57.0,46.0,0.0,0.0,333.0
99930.0,15.0,24.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,15.0,70.0,55.0,0.0,0.0,333.0
99922.0,16.0,23.0,5.0,13.0,3.0,0.0,0.0,0.0,0.0,18.0,78.0,60.0,0.0,0.0,333.0
99895.0,16.0,45.0,4.0,11.0,5.0,0.0,0.0,0.0,0.0,24.0,105.0,81.0,0.0,0.0,333.0
99874.0,19.0,51.0,2.0,17.0,6.0,0.0,0.0,0.0,0.0,31.0,126.0,95.0,0.0,0.0,333.0
99854.0,21.0,57.0,1.0,22.0,6.0,1.0,0.0,0.0,0.0,38.0,146.0,108.0,0.0,0.0,333.0
99836.0,21.0,59.0,0.0,29.0,7.0,0.0,0.0,0.0,0.0,48.0,164.0,116.0,0.0,0.0,333.0
99796.0,30.0,63.0,5.0,44.0,6.0,0.0,0.0,0.0,0.0,56.0,204.0,148.0,0.0,0.0,333.0
99748.0,40.0,84.0,9.0,49.0,5.0,0.0,0.0,0.0,0.0,65.0,252.0,187.0,0.0,0.0,333.0
99703.0,59.0,90.0,14.0,48.0,2.0,3.0,0.0,0.0,0.0,81.0,297.0,216.0,0.0,0.0,333.0
99656.0,69.0,99.0,16.0,58.0,2.0,1.0,0.0,0.0,0.0,99.0,344.0,245.0,0.0,0.0,333.0
99610.0,76.0,104.0,19.0,62.0,8.0,0.0,0.0,0.0,0.0,121.0,390.0,269.0,0.0,0.0,333.0
99528.0,90.0,124.0,19.0,85.0,12.0,0.0,0.0,0.0,0.0,142.0,472.0,330.0,0.0,0.0,333.0
99426.0,103.0,169.0,26.0,87.0,15.0,0.0,0.0,0.0,0.0,174.0,574.0,400.0,0.0,0.0,333.0
99321.0,122.0,200.0,34.0,99.0,16.0,0.0,0.0,0.0,0.0,208.0,679.0,471.0,0.0,0.0,333.0
99211.0,143.0,228.0,40.0,111.0,18.0,1.0,0.0,0.0,0.0,248.0,789.0,541.0,0.0,0.0,333.0
99063.0,177.0,262.0,41.0,151.0,26.0,1.0,0.0,0.0,0.0,279.0,937.0,658.0,0.0,0.0,333.0
98864.0,228.0,314.0,56.0,182.0,27.0,3.0,0.0,0.0,0.0,326.0,1136.0,810.0,0.0,0.0,333.0
98602.0,304.0,404.0,77.0,190.0,33.0,1.0,0.0,0.0,0.0,389.0,1398.0,1009.0,0.0,0.0,333.0
98366.0,337.0,478.0,89.0,205.0,44.0,2.0,0.0,0.0,0.0,479.0,1634.0,1155.0,0.0,0.0,333.0
98101.0,385.0,531.0,106.0,258.0,53.0,1.0,1.0,0.0,0.0,564.0,1899.0,1335.0,0.0,0.0,333.0
97733.0,468.0,634.0,124.0,321.0,62.0,2.0,0.0,0.0,1.0,655.0,2267.0,1612.0,0.0,0.0,333.0
97293.0,547.0,772.0,130.0,382.0,79.0,1.0,0.0,0.0,0.0,796.0,2707.0,1911.0,0.0,0.0,333.0
96710.0,663.0,961.0,141.0,456.0,108.0,2.0,0.0,0.0,0.0,959.0,3290.0,2331.0,0.0,0.0,333.0
96098.0,784.0,1131.0,179.0,546.0,123.0,1.0,0.0,0.0,0.0,1138.0,3902.0,2764.0,0.0,0.0,333.0
95458.0,937.0,1271.0,211.0,639.0,144.0,5.0,0.0,0.0,0.0,1335.0,4542.0,3207.0,0.0,0.0,333.0
94632.0,1111.0,1494.0,248.0,776.0,153.0,8.0,0.0,0.0,0.0,1578.0,5368.0,3790.0,0.0,0.0,333.0
93618.0,1297.0,1745.0,311.0,930.0,176.0,9.0,0.0,0.0,0.0,1914.0,6382.0,4468.0,0.0,0.0,333.0
92380.0,1525.0,2164.0,345.0,1095.0,208.0,13.0,1.0,1.0,0.0,2268.0,7620.0,5351.0,0.0,0.0,333.0
