SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99994.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
99992.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0
99989.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
99985.0,5.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,0.0,0.0,0.0
99981.0,5.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,15.0,0.0,0.0,0.0
99979.0,6.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,17.0,0.0,0.0,0.0
99971.0,8.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,23.0,0.0,0.0,0.0
99959.0,12.0,15.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,35.0,0.0,0.0,0.0
99946.0,16.0,21.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,54.0,45.0,0.0,0.0,0.0
99937.0,15.0,29.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,63.0,50.0,0.0,0.0,0.0
99924.0,18.0,27.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,16.0,76.0,60.0,0.0,0.0,0.0
99906.0,21.0,38.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,19.0,94.0,75.0,0.0,0.0,0.0
99884.0,30.0,40.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0,25.0,116.0,91.0,0.0,0.0,0.0
99865.0,34.0,34.0,4.0,30.0,1.0,0.0,0.0,0.0,0.0,32.0,135.0,103.0,0.0,0.0,0.0
99824.0,41.0,53.0,8.0,33.0,1.0,0.0,0.0,0.0,0.0,40.0,176.0,136.0,0.0,0.0,0.0
99792.0,49.0,58.0,10.0,39.0,3.0,0.0,0.0,0.0,0.0,49.0,208.0,159.0,0.0,0.0,0.0
99742.0,59.0,82.0,14.0,34.0,3.0,0.0,0.0,0.0,0.0,66.0,258.0,192.0,0.0,0.0,0.0
99693.0,63.0,94.0,15.0,50.0,6.0,0.0,0.0,0.0,0.0,79.0,307.0,228.0,0.0,0.0,0.0
99621.0,74.0,120.0,22.0,52.0,9.0,0.0,0.0,0.0,0.0,102.0,379.0,277.0,0.0,0.0,0.0
99531.0,93.0,146.0,30.0,67.0,12.0,0.0,0.0,0.0,0.0,121.0,469.0,348.0,0.0,0.0,0.0
99434.0,108.0,178.0,38.0,83.0,12.0,0.0,0.0,0.0,0.0,147.0,566.0,419.0,0.0,0.0,0.0
99337.0,120.0,215.0,44.0,89.0,15.0,1.0,0.0,0.0,0.0,179.0,663.0,484.0,0.0,0.0,0.0
99212.0,156.0,233.0,51.0,119.0,22.0,0.0,0.0,0.0,0.0,207.0,788.0,581.0,0.0,0.0,0.0
99056.0,184.0,280.0,61.0,141.0,30.0,0.0,0.0,0.0,0.0,248.0,944.0,696.0,0.0,0.0,0.0
98862.0,230.0,335.0,74.0,164.0,35.0,3.0,0.0,0.0,0.0,297.0,1138.0,841.0,0.0,0.0,0.0
98608.0,291.0,408.0,81.0,198.0,50.0,1.0,0.0,0.0,0.0,363.0,1392.0,1029.0,0.0,0.0,0.0
98301.0,356.0,505.0,112.0,231.0,55.0,3.0,0.0,0.0,0.0,437.0,1699.0,1262.0,0.0,0.0,0.0
97973.0,435.0,594.0,125.0,293.0,64.0,2.0,0.0,0.0,0.0,514.0,2027.0,1513.0,0.0,0.0,300.0
97579.0,520.0,705.0,145.0,337.0,78.0,3.0,1.0,0.0,0.0,632.0,2421.0,1789.0,0.0,0.0,300.0
97115.0,638.0,799.0,157.0,430.0,95.0,3.0,1.0,1.0,0.0,761.0,2885.0,2123.0,0.0,0.0,300.0
96526.0,750.0,1004.0,189.0,494.0,120.0,1.0,0.0,2.0,0.0,914.0,3474.0,2558.0,0.0,0.0,300.0
95819.0,882.0,1204.0,232.0,577.0,143.0,6.0,0.0,2.0,0.0,1135.0,4181.0,3044.0,0.0,0.0,300.0
95006.0,1060.0,1442.0,271.0,696.0,168.0,5.0,0.0,2.0,0.0,1350.0,4994.0,3642.0,0.0,0.0,300.0
94059.0,1247.0,1703.0,315.0,845.0,192.0,6.0,0.0,2.0,0.0,1631.0,5941.0,4308.0,0.0,0.0,300.0
92935.0,1450.0,2018.0,378.0,1020.0,218.0,11.0,0.0,3.0,0.0,1967.0,7065.0,5095.0,0.0,0.0,300.0
91658.0,1709.0,2358.0,432.0,1202.0,242.0,10.0,0.0,5.0,0.0,2384.0,8342.0,5953.0,0.0,0.0,300.0
90199.0,1985.0,2719.0,495.0,1430.0,306.0,11.0,0.0,6.0,0.0,2849.0,9801.0,6946.0,0.0,0.0,300.0
88356.0,2338.0,3217.0,592.0,1679.0,357.0,22.0,0.0,8.0,0.0,3431.0,11644.0,8205.0,0.0,0.0,300.0
