SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99994.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
99992.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0
99991.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0
99988.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,0.0,0.0,0.0
99982.0,2.0,8.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,18.0,16.0,0.0,0.0,0.0
99975.0,2.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,25.0,21.0,0.0,0.0,0.0
99970.0,3.0,11.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,30.0,24.0,0.0,0.0,0.0
99966.0,2.0,10.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,7.0,34.0,27.0,0.0,0.0,0.0
99959.0,5.0,11.0,5.0,9.0,2.0,0.0,0.0,0.0,0.0,9.0,41.0,32.0,0.0,0.0,0.0
99953.0,6.0,13.0,4.0,9.0,3.0,0.0,0.0,0.0,0.0,12.0,47.0,35.0,0.0,0.0,0.0
99935.0,11.0,24.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,16.0,65.0,49.0,0.0,0.0,0.0
99925.0,14.0,28.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,18.0,75.0,57.0,0.0,0.0,0.0
99911.0,16.0,31.0,4.0,14.0,3.0,0.0,0.0,0.0,0.0,21.0,89.0,68.0,0.0,0.0,0.0
99887.0,28.0,33.0,3.0,20.0,5.0,0.0,0.0,0.0,0.0,24.0,113.0,89.0,0.0,0.0,0.0
99865.0,31.0,33.0,8.0,28.0,5.0,0.0,0.0,0.0,0.0,30.0,135.0,105.0,0.0,0.0,0.0
99824.0,44.0,47.0,10.0,31.0,3.0,0.0,0.0,0.0,0.0,41.0,176.0,135.0,0.0,0.0,0.0
99791.0,58.0,54.0,11.0,32.0,4.0,0.0,0.0,0.0,0.0,50.0,209.0,159.0,0.0,0.0,0.0
99749.0,73.0,63.0,15.0,32.0,4.0,0.0,0.0,0.0,0.0,64.0,251.0,187.0,0.0,0.0,0.0
99697.0,80.0,78.0,14.0,40.0,8.0,0.0,0.0,0.0,0.0,83.0,303.0,220.0,0.0,0.0,0.0
99647.0,89.0,91.0,14.0,54.0,9.0,1.0,0.0,0.0,0.0,95.0,353.0,258.0,0.0,0.0,0.0
99568.0,107.0,118.0,17.0,58.0,14.0,0.0,0.0,0.0,0.0,118.0,432.0,314.0,0.0,0.0,0.0
99469.0,131.0,156.0,25.0,61.0,16.0,0.0,0.0,0.0,0.0,142.0,531.0,389.0,0.0,0.0,0.0
99368.0,149.0,174.0,32.0,85.0,16.0,1.0,0.0,0.0,0.0,175.0,632.0,457.0,0.0,0.0,0.0
99252.0,165.0,216.0,42.0,97.0,18.0,1.0,0.0,0.0,0.0,209.0,748.0,539.0,0.0,0.0,0.0
99098.0,197.0,262.0,40.0,127.0,25.0,1.0,0.0,0.0,0.0,250.0,902.0,652.0,0.0,0.0,0.0
98931.0,224.0,321.0,41.0,156.0,29.0,0.0,0.0,0.0,0.0,298.0,1069.0,771.0,0.0,0.0,0.0
98702.0,281.0,367.0,59.0,202.0,33.0,1.0,0.0,0.0,0.0,355.0,1298.0,943.0,0.0,0.0,0.0
98405.0,346.0,450.0,75.0,246.0,43.0,1.0,0.0,0.0,0.0,434.0,1595.0,1161.0,0.0,0.0,300.0
98093.0,408.0,550.0,90.0,295.0,51.0,0.0,0.0,0.0,0.0,513.0,1907.0,1394.0,0.0,0.0,300.0
97693.0,487.0,702.0,113.0,317.0,54.0,2.0,0.0,0.0,0.0,632.0,2307.0,1675.0,0.0,0.0,300.0
97241.0,583.0,839.0,139.0,354.0,70.0,3.0,0.0,0.0,0.0,771.0,2759.0,1988.0,0.0,0.0,300.0
96759.0,696.0,914.0,171.0,456.0,89.0,5.0,0.0,0.0,0.0,910.0,3241.0,2331.0,0.0,0.0,300.0
96138.0,805.0,1091.0,196.0,572.0,104.0,2.0,0.0,1.0,0.0,1091.0,3862.0,2770.0,0.0,0.0,300.0
95361.0,934.0,1327.0,241.0,689.0,124.0,6.0,0.0,1.0,0.0,1317.0,4639.0,3321.0,0.0,0.0,300.0
94448.0,1109.0,1609.0,303.0,810.0,147.0,6.0,1.0,1.0,0.0,1566.0,5552.0,3985.0,0.0,0.0,300.0
93408.0,1304.0,1891.0,384.0,930.0,179.0,3.0,2.0,1.0,0.0,1898.0,6592.0,4693.0,0.0,0.0,300.0
92235.0,1534.0,2226.0,434.0,1099.0,210.0,8.0,0.0,3.0,0.0,2251.0,7765.0,5511.0,0.0,0.0,300.0
90851.0,1824.0,2522.0,478.0,1369.0,271.0,12.0,1.0,3.0,0.0,2669.0,9149.0,6477.0,0.0,0.0,300.0
