SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99994.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
99994.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
99993.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,0.0
99986.0,9.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,1.0,0.0
99985.0,9.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,0.0,1.0,0.0
99984.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,13.0,0.0,2.0,0.0
99978.0,11.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,18.0,0.0,1.0,0.0
99970.0,10.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,24.0,0.0,0.0,0.0
99963.0,9.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,37.0,27.0,0.0,2.0,0.0
99959.0,8.0,13.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,29.0,0.0,5.0,0.0
99953.0,10.0,14.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,47.0,35.0,0.0,3.0,0.0
99939.0,14.0,19.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,15.0,61.0,46.0,0.0,7.0,0.0
99923.0,19.0,24.0,3.0,12.0,2.0,0.0,0.0,0.0,0.0,17.0,77.0,60.0,0.0,6.0,0.0
99910.0,23.0,26.0,4.0,14.0,2.0,0.0,0.0,0.0,0.0,21.0,90.0,69.0,0.0,11.0,0.0
99897.0,27.0,27.0,6.0,16.0,2.0,0.0,0.0,0.0,0.0,25.0,103.0,78.0,0.0,11.0,0.0
99880.0,32.0,32.0,5.0,15.0,2.0,0.0,0.0,0.0,0.0,34.0,120.0,86.0,0.0,15.0,0.0
99869.0,31.0,35.0,5.0,15.0,4.0,0.0,0.0,0.0,0.0,41.0,131.0,90.0,0.0,10.0,0.0
99848.0,31.0,42.0,6.0,23.0,4.0,1.0,0.0,0.0,0.0,45.0,152.0,107.0,0.0,17.0,0.0
99825.0,32.0,48.0,7.0,24.0,3.0,0.0,0.0,0.0,0.0,61.0,175.0,114.0,0.0,15.0,0.0
99802.0,35.0,50.0,5.0,34.0,5.0,0.0,0.0,0.0,0.0,69.0,198.0,129.0,0.0,28.0,0.0
99773.0,37.0,62.0,2.0,35.0,7.0,0.0,0.0,0.0,0.0,84.0,227.0,143.0,0.0,19.0,0.0
99729.0,41.0,78.0,8.0,34.0,7.0,0.0,0.0,0.0,0.0,103.0,271.0,168.0,0.0,25.0,0.0
99693.0,43.0,83.0,12.0,47.0,5.0,0.0,0.0,0.0,0.0,117.0,307.0,190.0,0.0,31.0,0.0
99640.0,52.0,100.0,18.0,55.0,5.0,0.0,0.0,0.0,0.0,130.0,360.0,230.0,0.0,40.0,0.0
99597.0,61.0,98.0,18.0,68.0,8.0,0.0,0.0,0.0,0.0,150.0,403.0,253.0,0.0,42.0,0.0
99532.0,77.0,116.0,17.0,73.0,14.0,0.0,0.0,0.0,0.0,171.0,468.0,297.0,0.0,51.0,0.0
99463.0,95.0,125.0,23.0,83.0,16.0,1.0,0.0,0.0,0.0,194.0,537.0,343.0,0.0,60.0,0.0
99385.0,106.0,144.0,25.0,99.0,18.0,0.0,0.0,0.0,0.0,223.0,615.0,392.0,0.0,70.0,300.0
99291.0,123.0,166.0,27.0,108.0,18.0,0.0,0.0,0.0,0.0,267.0,709.0,442.0,0.0,75.0,300.0
99180.0,143.0,192.0,28.0,120.0,26.0,0.0,0.0,0.0,0.0,311.0,820.0,509.0,0.0,100.0,300.0
99083.0,152.0,215.0,35.0,125.0,31.0,0.0,0.0,0.0,0.0,359.0,917.0,558.0,0.0,85.0,300.0
98950.0,186.0,245.0,39.0,151.0,28.0,3.0,0.0,0.0,0.0,398.0,1050.0,652.0,0.0,109.0,300.0
98775.0,220.0,290.0,53.0,174.0,28.0,3.0,0.0,0.0,0.0,457.0,1225.0,768.0,0.0,126.0,300.0
98630.0,238.0,305.0,64.0,199.0,29.0,5.0,0.0,0.0,0.0,530.0,1370.0,840.0,0.0,132.0,300.0
98435.0,265.0,369.0,72.0,215.0,35.0,4.0,0.0,2.0,0.0,603.0,1565.0,960.0,0.0,143.0,300.0
98221.0,302.0,427.0,85.0,238.0,43.0,4.0,0.0,3.0,0.0,677.0,1779.0,1099.0,0.0,186.0,300.0
98022.0,330.0,426.0,97.0,273.0,52.0,4.0,0.0,3.0,0.0,793.0,1978.0,1182.0,0.0,204.0,300.0
97751.0,367.0,471.0,109.0,323.0,68.0,3.0,0.0,4.0,0.0,904.0,2249.0,1341.0,0.0,238.0,300.0
