SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99994.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
99993.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,0.0,2.0,0.0
99991.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,0.0,1.0,0.0
99989.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,0.0,0.0,0.0
99989.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0,0.0,0.0,0.0
99989.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0,0.0,1.0,0.0
99988.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,12.0,7.0,0.0,2.0,0.0
99986.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,14.0,9.0,0.0,1.0,0.0
99986.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,14.0,6.0,0.0,1.0,0.0
99986.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,14.0,5.0,0.0,1.0,0.0
99986.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,14.0,5.0,0.0,3.0,0.0
99984.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,6.0,0.0,1.0,0.0
99982.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,8.0,0.0,1.0,0.0
99981.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,19.0,7.0,0.0,2.0,0.0
99981.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,19.0,7.0,0.0,2.0,0.0
99979.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,21.0,9.0,0.0,3.0,0.0
99977.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,13.0,23.0,10.0,0.0,3.0,0.0
99972.0,2.0,6.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,13.0,28.0,15.0,0.0,4.0,0.0
99970.0,2.0,7.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,14.0,30.0,16.0,0.0,4.0,0.0
99969.0,2.0,6.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,14.0,31.0,17.0,0.0,2.0,0.0
99962.0,4.0,7.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,16.0,38.0,22.0,0.0,6.0,0.0
99957.0,4.0,9.0,3.0,7.0,0.0,2.0,0.0,0.0,0.0,18.0,43.0,25.0,0.0,4.0,0.0
99951.0,3.0,13.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,23.0,49.0,26.0,0.0,1.0,0.0
99949.0,3.0,13.0,2.0,6.0,2.0,0.0,0.0,1.0,0.0,24.0,51.0,26.0,0.0,8.0,0.0
99943.0,4.0,13.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,27.0,57.0,29.0,0.0,8.0,0.0
99933.0,7.0,18.0,3.0,6.0,4.0,0.0,0.0,1.0,0.0,28.0,67.0,38.0,0.0,5.0,0.0
99927.0,8.0,16.0,3.0,8.0,4.0,0.0,0.0,1.0,0.0,33.0,73.0,39.0,0.0,6.0,124.0
99919.0,11.0,16.0,2.0,12.0,5.0,0.0,0.0,1.0,0.0,34.0,81.0,46.0,0.0,9.0,124.0
99908.0,11.0,22.0,4.0,12.0,4.0,0.0,0.0,1.0,0.0,38.0,92.0,53.0,0.0,9.0,124.0
99901.0,12.0,22.0,5.0,11.0,1.0,2.0,0.0,1.0,0.0,45.0,99.0,53.0,0.0,6.0,124.0
99890.0,17.0,22.0,5.0,13.0,3.0,0.0,0.0,1.0,0.0,49.0,110.0,60.0,0.0,10.0,124.0
99883.0,19.0,22.0,4.0,15.0,4.0,0.0,0.0,1.0,0.0,52.0,117.0,64.0,0.0,13.0,124.0
99873.0,20.0,24.0,5.0,13.0,4.0,0.0,0.0,1.0,0.0,60.0,127.0,66.0,0.0,7.0,124.0
99847.0,21.0,34.0,7.0,16.0,2.0,1.0,0.0,1.0,0.0,71.0,153.0,81.0,0.0,13.0,124.0
99835.0,23.0,35.0,6.0,19.0,3.0,0.0,0.0,1.0,0.0,78.0,165.0,86.0,0.0,14.0,124.0
99813.0,26.0,45.0,6.0,21.0,4.0,0.0,0.0,1.0,0.0,84.0,187.0,102.0,0.0,12.0,124.0
99783.0,34.0,49.0,7.0,28.0,6.0,0.0,0.0,1.0,0.0,92.0,217.0,124.0,0.0,24.0,124.0
99757.0,43.0,56.0,7.0,26.0,7.0,0.0,0.0,1.0,0.0,103.0,243.0,139.0,0.0,17.0,124.0
