SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0
99995.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0
99993.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0,0.0
99993.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,0.0,0.0,0.0
99991.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,0.0,0.0,0.0
99991.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,0.0,0.0,0.0
99989.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0,0.0,0.0,0.0
99987.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0,0.0,0.0,124.0
99985.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,15.0,10.0,0.0,0.0,124.0
99982.0,3.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,18.0,13.0,0.0,0.0,124.0
99981.0,3.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,19.0,13.0,0.0,0.0,124.0
99972.0,6.0,9.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,7.0,28.0,21.0,0.0,0.0,124.0
99967.0,6.0,10.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,8.0,33.0,25.0,0.0,0.0,124.0
99965.0,7.0,8.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,9.0,35.0,26.0,0.0,0.0,124.0
99955.0,11.0,11.0,3.0,7.0,2.0,1.0,0.0,1.0,0.0,9.0,45.0,35.0,0.0,0.0,124.0
99946.0,12.0,13.0,3.0,9.0,2.0,1.0,0.0,1.0,0.0,13.0,54.0,40.0,0.0,0.0,124.0
99936.0,11.0,20.0,2.0,10.0,2.0,1.0,0.0,1.0,0.0,17.0,64.0,46.0,0.0,0.0,124.0
99922.0,13.0,29.0,4.0,10.0,2.0,0.0,0.0,2.0,0.0,18.0,78.0,58.0,0.0,0.0,124.0
99911.0,17.0,30.0,6.0,8.0,2.0,0.0,0.0,2.0,0.0,24.0,89.0,63.0,0.0,0.0,124.0
99898.0,21.0,33.0,6.0,9.0,1.0,0.0,0.0,2.0,0.0,30.0,102.0,70.0,0.0,0.0,124.0
99889.0,22.0,30.0,2.0,17.0,5.0,0.0,0.0,2.0,0.0,33.0,111.0,76.0,0.0,0.0,124.0
99855.0,26.0,44.0,4.0,27.0,5.0,1.0,0.0,2.0,0.0,36.0,145.0,107.0,0.0,0.0,124.0
99822.0,29.0,58.0,8.0,31.0,6.0,1.0,0.0,2.0,0.0,43.0,178.0,133.0,0.0,0.0,124.0
99787.0,33.0,70.0,13.0,36.0,6.0,1.0,0.0,2.0,0.0,52.0,213.0,159.0,0.0,0.0,124.0
99734.0,41.0,95.0,15.0,36.0,6.0,0.0,0.0,3.0,0.0,70.0,266.0,193.0,0.0,0.0,124.0
99702.0,55.0,97.0,16.0,35.0,8.0,0.0,0.0,3.0,0.0,84.0,298.0,211.0,0.0,0.0,124.0
99663.0,63.0,91.0,19.0,51.0,12.0,0.0,0.0,3.0,0.0,98.0,337.0,236.0,0.0,0.0,124.0
99592.0,75.0,109.0,26.0,73.0,9.0,3.0,0.0,3.0,0.0,110.0,408.0,295.0,0.0,0.0,124.0
99499.0,99.0,147.0,29.0,79.0,9.0,0.0,0.0,3.0,0.0,135.0,501.0,363.0,0.0,0.0,124.0
99400.0,120.0,181.0,36.0,84.0,13.0,0.0,0.0,3.0,0.0,163.0,600.0,434.0,0.0,0.0,124.0
99290.0,139.0,216.0,42.0,97.0,16.0,0.0,0.0,3.0,0.0,197.0,710.0,510.0,0.0,0.0,124.0
99174.0,153.0,243.0,38.0,122.0,24.0,0.0,0.0,3.0,0.0,243.0,826.0,580.0,0.0,0.0,124.0
99015.0,193.0,286.0,41.0,148.0,33.0,0.0,0.0,3.0,0.0,281.0,985.0,701.0,0.0,0.0,124.0
98822.0,238.0,340.0,48.0,178.0,40.0,0.0,0.0,3.0,0.0,331.0,1178.0,844.0,0.0,0.0,124.0
98590.0,288.0,424.0,58.0,200.0,42.0,0.0,0.0,3.0,0.0,395.0,1410.0,1012.0,0.0,0.0,124.0
98318.0,340.0,498.0,75.0,242.0,44.0,1.0,0.0,3.0,0.0,479.0,1682.0,1200.0,0.0,0.0,124.0
98048.0,388.0,552.0,88.0,296.0,56.0,2.0,0.0,3.0,0.0,567.0,1952.0,1382.0,0.0,0.0,124.0
97641.0,466.0,686.0,108.0,330.0,67.0,5.0,0.0,3.0,0.0,694.0,2359.0,1662.0,0.0,0.0,124.0
