SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99994.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0
99993.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
99990.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,0.0,1.0,0.0
99988.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,10.0,0.0,1.0,0.0
99986.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,10.0,0.0,2.0,0.0
99986.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,9.0,0.0,2.0,0.0
99978.0,6.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,17.0,0.0,2.0,0.0
99976.0,6.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,19.0,0.0,3.0,0.0
99970.0,5.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0,21.0,0.0,0.0,0.0
99965.0,4.0,14.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,35.0,24.0,0.0,3.0,0.0
99961.0,4.0,13.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,12.0,39.0,27.0,0.0,5.0,0.0
99954.0,5.0,11.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0,15.0,46.0,31.0,0.0,8.0,0.0
99940.0,8.0,19.0,7.0,8.0,2.0,0.0,0.0,0.0,0.0,16.0,60.0,44.0,0.0,5.0,0.0
99929.0,12.0,22.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,19.0,71.0,52.0,0.0,8.0,0.0
99923.0,15.0,19.0,7.0,13.0,3.0,0.0,0.0,0.0,0.0,20.0,77.0,57.0,0.0,9.0,0.0
99915.0,15.0,19.0,6.0,17.0,3.0,1.0,0.0,0.0,0.0,24.0,85.0,61.0,0.0,10.0,0.0
99904.0,18.0,24.0,4.0,15.0,5.0,0.0,0.0,0.0,0.0,30.0,96.0,66.0,0.0,12.0,0.0
99886.0,23.0,27.0,5.0,18.0,4.0,0.0,0.0,0.0,0.0,37.0,114.0,77.0,0.0,14.0,0.0
99861.0,29.0,34.0,4.0,20.0,6.0,0.0,0.0,0.0,0.0,46.0,139.0,93.0,0.0,14.0,0.0
99831.0,33.0,43.0,5.0,22.0,6.0,0.0,0.0,0.0,0.0,60.0,169.0,109.0,0.0,16.0,0.0
99807.0,38.0,47.0,7.0,27.0,7.0,0.0,0.0,0.0,0.0,67.0,193.0,126.0,0.0,21.0,0.0
99772.0,43.0,60.0,8.0,29.0,8.0,0.0,0.0,0.0,0.0,80.0,228.0,148.0,0.0,23.0,0.0
99737.0,49.0,75.0,12.0,30.0,7.0,1.0,0.0,0.0,0.0,89.0,263.0,174.0,0.0,24.0,0.0
99706.0,50.0,79.0,19.0,35.0,6.0,0.0,0.0,0.0,0.0,105.0,294.0,189.0,0.0,24.0,0.0
99671.0,56.0,75.0,21.0,52.0,5.0,1.0,0.0,0.0,0.0,119.0,329.0,210.0,0.0,36.0,0.0
99615.0,63.0,88.0,26.0,63.0,7.0,0.0,0.0,0.0,0.0,138.0,385.0,247.0,0.0,42.0,0.0
99558.0,72.0,95.0,31.0,77.0,11.0,0.0,0.0,0.0,0.0,156.0,442.0,286.0,0.0,54.0,0.0
99489.0,82.0,123.0,30.0,75.0,17.0,0.0,0.0,0.0,0.0,184.0,511.0,327.0,0.0,59.0,0.0
99409.0,94.0,140.0,37.0,87.0,21.0,1.0,0.0,0.0,0.0,211.0,591.0,380.0,0.0,69.0,0.0
99320.0,110.0,165.0,39.0,86.0,28.0,0.0,0.0,0.0,0.0,252.0,680.0,428.0,0.0,71.0,0.0
99241.0,136.0,169.0,38.0,101.0,33.0,0.0,0.0,0.0,0.0,282.0,759.0,477.0,0.0,80.0,0.0
99123.0,156.0,189.0,37.0,115.0,39.0,1.0,0.0,0.0,0.0,340.0,877.0,537.0,0.0,99.0,0.0
98997.0,179.0,220.0,45.0,134.0,40.0,2.0,0.0,0.0,0.0,383.0,1003.0,620.0,0.0,97.0,0.0
98871.0,194.0,250.0,54.0,151.0,41.0,2.0,0.0,0.0,0.0,437.0,1129.0,692.0,0.0,121.0,0.0
98727.0,215.0,285.0,62.0,165.0,43.0,1.0,0.0,1.0,0.0,501.0,1273.0,771.0,0.0,121.0,0.0
98562.0,234.0,319.0,62.0,183.0,50.0,3.0,0.0,1.0,0.0,586.0,1438.0,851.0,0.0,155.0,0.0
98363.0,285.0,367.0,66.0,201.0,54.0,7.0,0.0,1.0,0.0,656.0,1637.0,980.0,0.0,139.0,0.0
98114.0,324.0,451.0,79.0,224.0,56.0,8.0,0.0,1.0,0.0,743.0,1886.0,1142.0,0.0,161.0,0.0
