SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0
99994.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0
99990.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,0.0,0.0,0.0
99985.0,4.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,13.0,0.0,2.0,0.0
99984.0,3.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,13.0,0.0,2.0,0.0
99984.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,16.0,11.0,0.0,1.0,0.0
99983.0,3.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,17.0,12.0,0.0,4.0,0.0
99978.0,2.0,4.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,7.0,22.0,15.0,0.0,3.0,0.0
99970.0,5.0,7.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,8.0,30.0,22.0,0.0,2.0,0.0
99965.0,6.0,11.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,26.0,0.0,2.0,0.0
99962.0,7.0,9.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,10.0,38.0,28.0,0.0,6.0,0.0
99959.0,9.0,8.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,15.0,41.0,26.0,0.0,5.0,0.0
99950.0,11.0,10.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,15.0,50.0,35.0,0.0,8.0,0.0
99943.0,13.0,12.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,17.0,57.0,40.0,0.0,8.0,0.0
99936.0,14.0,12.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,24.0,64.0,40.0,0.0,6.0,0.0
99926.0,15.0,15.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,30.0,74.0,44.0,0.0,6.0,0.0
99907.0,19.0,24.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,34.0,93.0,59.0,0.0,5.0,0.0
99890.0,23.0,27.0,6.0,15.0,3.0,0.0,0.0,0.0,0.0,36.0,110.0,74.0,0.0,13.0,0.0
99864.0,25.0,36.0,11.0,19.0,4.0,0.0,0.0,0.0,0.0,41.0,136.0,95.0,0.0,14.0,0.0
99846.0,29.0,42.0,10.0,21.0,5.0,0.0,0.0,0.0,0.0,47.0,154.0,107.0,0.0,17.0,0.0
99822.0,34.0,48.0,13.0,20.0,7.0,0.0,0.0,0.0,0.0,56.0,178.0,122.0,0.0,22.0,0.0
99805.0,33.0,45.0,9.0,29.0,11.0,1.0,0.0,0.0,0.0,67.0,195.0,128.0,0.0,24.0,0.0
99769.0,40.0,53.0,13.0,36.0,14.0,0.0,0.0,0.0,0.0,75.0,231.0,156.0,0.0,27.0,0.0
99713.0,50.0,75.0,19.0,43.0,11.0,1.0,0.0,0.0,0.0,88.0,287.0,199.0,0.0,32.0,0.0
99674.0,55.0,90.0,14.0,45.0,13.0,2.0,0.0,0.0,0.0,107.0,326.0,219.0,0.0,36.0,0.0
99643.0,56.0,90.0,11.0,53.0,17.0,1.0,0.0,0.0,0.0,129.0,357.0,228.0,0.0,45.0,0.0
99602.0,62.0,88.0,16.0,65.0,16.0,3.0,0.0,0.0,0.0,148.0,398.0,250.0,0.0,48.0,0.0
99546.0,74.0,108.0,16.0,70.0,12.0,3.0,1.0,0.0,0.0,170.0,454.0,284.0,0.0,40.0,0.0
99481.0,85.0,121.0,18.0,83.0,13.0,1.0,0.0,1.0,0.0,197.0,519.0,321.0,0.0,60.0,0.0
99405.0,98.0,130.0,21.0,97.0,14.0,1.0,0.0,1.0,0.0,233.0,595.0,361.0,0.0,67.0,0.0
99321.0,119.0,151.0,29.0,88.0,18.0,0.0,1.0,1.0,0.0,272.0,679.0,406.0,0.0,62.0,0.0
99222.0,144.0,171.0,37.0,96.0,14.0,3.0,0.0,2.0,0.0,311.0,778.0,465.0,0.0,66.0,0.0
99122.0,159.0,189.0,35.0,119.0,23.0,1.0,0.0,2.0,0.0,350.0,878.0,526.0,0.0,89.0,0.0
99000.0,196.0,210.0,39.0,143.0,29.0,1.0,0.0,2.0,0.0,380.0,1000.0,618.0,0.0,99.0,0.0
98855.0,217.0,257.0,45.0,160.0,33.0,2.0,0.0,2.0,0.0,429.0,1145.0,714.0,0.0,101.0,0.0
98689.0,250.0,292.0,49.0,179.0,39.0,2.0,1.0,2.0,0.0,497.0,1311.0,812.0,0.0,147.0,0.0
98488.0,282.0,360.0,52.0,189.0,45.0,1.0,0.0,3.0,0.0,580.0,1512.0,929.0,0.0,136.0,0.0
98294.0,310.0,399.0,67.0,220.0,44.0,4.0,0.0,4.0,0.0,658.0,1706.0,1044.0,0.0,156.0,0.0
