SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
99994.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
99992.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0
99990.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
99987.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0
99985.0,4.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,13.0,0.0,0.0,0.0
99981.0,4.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,19.0,16.0,0.0,0.0,0.0
99981.0,4.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,19.0,16.0,0.0,0.0,300.0
99976.0,3.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,24.0,18.0,0.0,0.0,300.0
99974.0,3.0,8.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,26.0,19.0,0.0,0.0,300.0
99970.0,3.0,9.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0,0.0,0.0,300.0
99969.0,3.0,7.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,11.0,31.0,20.0,0.0,0.0,300.0
99963.0,2.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0,37.0,22.0,0.0,0.0,300.0
99953.0,4.0,17.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,16.0,47.0,31.0,0.0,0.0,300.0
99944.0,4.0,21.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,19.0,56.0,37.0,0.0,0.0,300.0
99936.0,8.0,20.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,22.0,64.0,42.0,0.0,0.0,300.0
99927.0,11.0,18.0,3.0,15.0,2.0,0.0,0.0,0.0,0.0,24.0,73.0,49.0,0.0,0.0,300.0
99914.0,14.0,23.0,5.0,18.0,2.0,0.0,0.0,0.0,0.0,24.0,86.0,62.0,0.0,0.0,300.0
99892.0,20.0,37.0,3.0,16.0,4.0,0.0,0.0,0.0,0.0,28.0,108.0,80.0,0.0,0.0,300.0
99862.0,24.0,50.0,6.0,15.0,3.0,0.0,0.0,0.0,0.0,40.0,138.0,98.0,0.0,0.0,300.0
99847.0,26.0,50.0,7.0,24.0,3.0,0.0,0.0,0.0,0.0,43.0,153.0,110.0,0.0,0.0,300.0
99813.0,35.0,55.0,8.0,32.0,3.0,0.0,0.0,0.0,0.0,54.0,187.0,133.0,0.0,0.0,300.0
99767.0,48.0,70.0,11.0,41.0,4.0,0.0,0.0,0.0,0.0,59.0,233.0,174.0,0.0,0.0,300.0
99718.0,56.0,88.0,13.0,48.0,7.0,0.0,0.0,0.0,0.0,70.0,282.0,212.0,0.0,0.0,300.0
99648.0,72.0,118.0,22.0,49.0,5.0,0.0,0.0,0.0,0.0,86.0,352.0,266.0,0.0,0.0,300.0
99587.0,81.0,141.0,23.0,58.0,8.0,0.0,0.0,0.0,0.0,102.0,413.0,311.0,0.0,0.0,300.0
99511.0,96.0,149.0,29.0,72.0,13.0,0.0,0.0,0.0,0.0,130.0,489.0,359.0,0.0,0.0,300.0
99421.0,116.0,166.0,33.0,91.0,19.0,0.0,0.0,0.0,0.0,154.0,579.0,425.0,0.0,0.0,300.0
99309.0,144.0,184.0,44.0,119.0,24.0,0.0,0.0,0.0,0.0,176.0,691.0,515.0,0.0,0.0,300.0
99139.0,179.0,245.0,53.0,132.0,25.0,3.0,0.0,0.0,0.0,224.0,861.0,637.0,0.0,0.0,300.0
98956.0,226.0,311.0,65.0,141.0,31.0,3.0,0.0,0.0,0.0,267.0,1044.0,777.0,0.0,0.0,300.0
98751.0,253.0,384.0,75.0,169.0,37.0,5.0,0.0,0.0,0.0,326.0,1249.0,923.0,0.0,0.0,300.0
98531.0,301.0,437.0,77.0,218.0,46.0,2.0,2.0,1.0,0.0,385.0,1469.0,1083.0,0.0,0.0,300.0
98200.0,367.0,532.0,107.0,259.0,54.0,4.0,0.0,2.0,1.0,474.0,1800.0,1324.0,0.0,0.0,300.0
97823.0,441.0,646.0,122.0,318.0,75.0,4.0,0.0,2.0,0.0,569.0,2177.0,1606.0,0.0,0.0,300.0
97381.0,522.0,792.0,150.0,383.0,76.0,6.0,0.0,3.0,0.0,687.0,2619.0,1929.0,0.0,0.0,300.0
96846.0,643.0,933.0,178.0,438.0,91.0,4.0,1.0,4.0,0.0,862.0,3154.0,2288.0,0.0,0.0,300.0
96230.0,773.0,1084.0,211.0,550.0,111.0,5.0,0.0,5.0,0.0,1031.0,3770.0,2734.0,0.0,0.0,300.0
