SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0
99992.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0
99988.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0
99984.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,14.0
99984.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0
99982.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,13.0
99979.0,8.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,14.0
99977.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,14.0
99974.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,14.0
99974.0,6.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,26.0,14.0
99970.0,8.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,13.0,30.0,17.0
99967.0,5.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,16.0,33.0,17.0
99963.0,5.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,19.0,37.0,18.0
99959.0,3.0,10.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,24.0,41.0,17.0
99958.0,3.0,8.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,24.0,42.0,18.0
99950.0,4.0,14.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,26.0,50.0,24.0
99948.0,5.0,12.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,26.0,52.0,26.0
99943.0,6.0,12.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,29.0,57.0,28.0
99936.0,7.0,12.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,32.0,64.0,32.0
99931.0,8.0,13.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,32.0,69.0,37.0
99919.0,12.0,16.0,1.0,14.0,0.0,0.0,0.0,1.0,0.0,37.0,81.0,43.0
99911.0,14.0,18.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,42.0,89.0,46.0
99899.0,14.0,26.0,3.0,12.0,0.0,0.0,0.0,1.0,0.0,45.0,101.0,55.0
99887.0,14.0,32.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,52.0,113.0,60.0
99874.0,17.0,31.0,6.0,13.0,2.0,0.0,0.0,1.0,0.0,56.0,126.0,69.0
99864.0,15.0,29.0,6.0,19.0,2.0,0.0,0.0,1.0,0.0,64.0,136.0,71.0
99840.0,18.0,35.0,5.0,27.0,5.0,0.0,0.0,1.0,0.0,69.0,160.0,90.0
99807.0,25.0,52.0,9.0,27.0,5.0,0.0,0.0,1.0,0.0,74.0,193.0,118.0
99789.0,28.0,51.0,10.0,30.0,5.0,0.0,0.0,1.0,0.0,86.0,211.0,124.0
99756.0,30.0,61.0,9.0,36.0,7.0,0.0,0.0,1.0,0.0,100.0,244.0,143.0
