SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99993.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0
99993.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0
99989.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0
99986.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,11.0
99984.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,11.0
99983.0,2.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,12.0
99980.0,2.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,15.0
99973.0,5.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,18.0
99966.0,6.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,34.0,24.0
99960.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,40.0,27.0
99958.0,9.0,12.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,13.0,42.0,29.0
99956.0,9.0,8.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,15.0,44.0,29.0
99948.0,12.0,12.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,17.0,52.0,35.0
99936.0,17.0,15.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,19.0,64.0,45.0
99922.0,18.0,22.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,25.0,78.0,53.0
99910.0,16.0,27.0,5.0,10.0,3.0,0.0,0.0,0.0,0.0,29.0,90.0,61.0
99899.0,15.0,32.0,5.0,12.0,2.0,1.0,0.0,0.0,0.0,34.0,101.0,67.0
99893.0,16.0,31.0,4.0,14.0,3.0,0.0,0.0,0.0,0.0,39.0,107.0,68.0
99877.0,19.0,29.0,5.0,24.0,3.0,1.0,0.0,0.0,0.0,42.0,123.0,81.0
99865.0,16.0,29.0,7.0,27.0,4.0,0.0,0.0,0.0,0.0,52.0,135.0,83.0
99847.0,17.0,35.0,8.0,26.0,5.0,0.0,0.0,0.0,0.0,62.0,153.0,91.0
99825.0,23.0,40.0,8.0,29.0,6.0,0.0,0.0,0.0,0.0,69.0,175.0,106.0
99812.0,23.0,40.0,5.0,30.0,8.0,0.0,0.0,0.0,0.0,82.0,188.0,106.0
99789.0,29.0,40.0,8.0,34.0,6.0,1.0,0.0,0.0,0.0,93.0,211.0,118.0
99760.0,29.0,52.0,10.0,33.0,8.0,0.0,0.0,0.0,0.0,108.0,240.0,132.0
99743.0,37.0,52.0,8.0,36.0,7.0,2.0,0.0,0.0,0.0,115.0,257.0,142.0
99708.0,42.0,64.0,11.0,36.0,7.0,1.0,0.0,0.0,0.0,131.0,292.0,161.0
99678.0,43.0,67.0,12.0,39.0,10.0,1.0,0.0,0.0,0.0,150.0,322.0,172.0
99644.0,46.0,79.0,13.0,42.0,12.0,2.0,0.0,0.0,0.0,162.0,356.0,194.0
