SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99993.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99992.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0
99989.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0
99989.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0
99989.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99987.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0
99986.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0
99982.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,11.0
99976.0,7.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,17.0
99975.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,15.0
99970.0,8.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0
99965.0,10.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,35.0,24.0
99963.0,8.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,37.0,23.0
99955.0,12.0,7.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,45.0,30.0
99944.0,16.0,11.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,19.0,56.0,37.0
99942.0,16.0,11.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,21.0,58.0,37.0
99937.0,15.0,11.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,25.0,63.0,38.0
99926.0,17.0,15.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,30.0,74.0,44.0
99920.0,13.0,15.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,36.0,80.0,44.0
99909.0,13.0,23.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,40.0,91.0,51.0
99904.0,12.0,22.0,3.0,8.0,4.0,0.0,0.0,0.0,0.0,47.0,96.0,49.0
99890.0,16.0,24.0,5.0,11.0,3.0,1.0,0.0,0.0,0.0,50.0,110.0,60.0
99881.0,14.0,26.0,4.0,14.0,2.0,1.0,0.0,0.0,0.0,58.0,119.0,61.0
99866.0,17.0,29.0,6.0,16.0,2.0,0.0,0.0,0.0,0.0,64.0,134.0,70.0
99847.0,18.0,33.0,9.0,21.0,3.0,0.0,0.0,0.0,0.0,69.0,153.0,84.0
99826.0,22.0,40.0,10.0,21.0,4.0,0.0,0.0,0.0,0.0,77.0,174.0,97.0
99814.0,21.0,46.0,10.0,21.0,3.0,0.0,0.0,0.0,0.0,85.0,186.0,101.0
99803.0,23.0,40.0,7.0,28.0,5.0,0.0,0.0,0.0,0.0,94.0,197.0,103.0
99780.0,26.0,50.0,9.0,25.0,5.0,0.0,0.0,0.0,0.0,105.0,220.0,115.0
