SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99990.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99989.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0
99989.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0
99988.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0
99987.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,9.0
99982.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,14.0
99981.0,3.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,13.0
99976.0,4.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,15.0
99972.0,4.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,17.0
99967.0,6.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,33.0,20.0
99963.0,8.0,6.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,13.0,37.0,24.0
99957.0,10.0,6.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,13.0,43.0,30.0
99949.0,9.0,13.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,17.0,51.0,34.0
99939.0,13.0,15.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,18.0,61.0,43.0
99933.0,14.0,17.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,23.0,67.0,44.0
99928.0,14.0,14.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0,27.0,72.0,45.0
99921.0,13.0,15.0,1.0,14.0,4.0,0.0,0.0,0.0,0.0,32.0,79.0,47.0
99908.0,13.0,19.0,1.0,15.0,5.0,0.0,0.0,0.0,0.0,39.0,92.0,53.0
99893.0,13.0,26.0,3.0,16.0,4.0,0.0,0.0,0.0,0.0,45.0,107.0,62.0
99880.0,13.0,29.0,5.0,17.0,4.0,1.0,0.0,0.0,0.0,51.0,120.0,69.0
99864.0,14.0,33.0,5.0,22.0,3.0,0.0,0.0,0.0,0.0,59.0,136.0,77.0
99844.0,23.0,36.0,7.0,19.0,3.0,0.0,0.0,0.0,0.0,68.0,156.0,88.0
99832.0,24.0,36.0,6.0,26.0,4.0,0.0,0.0,0.0,0.0,72.0,168.0,96.0
99808.0,24.0,42.0,8.0,33.0,4.0,1.0,0.0,0.0,0.0,80.0,192.0,112.0
99773.0,32.0,48.0,11.0,39.0,7.0,0.0,0.0,0.0,0.0,90.0,227.0,137.0
99737.0,40.0,62.0,13.0,36.0,7.0,0.0,0.0,0.0,0.0,105.0,263.0,158.0
99707.0,44.0,70.0,14.0,42.0,7.0,0.0,0.0,0.0,0.0,116.0,293.0,177.0
99676.0,44.0,74.0,16.0,43.0,7.0,0.0,0.0,0.0,0.0,140.0,324.0,184.0
