SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99991.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
99989.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0
99984.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,14.0
99984.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,13.0
99983.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,17.0,13.0
99980.0,7.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,20.0,15.0
99978.0,6.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,22.0,16.0
99977.0,5.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,23.0,14.0
99976.0,3.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,24.0,13.0
99975.0,4.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,25.0,13.0
99974.0,3.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,26.0,11.0
99974.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,18.0,26.0,8.0
99972.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,18.0,28.0,10.0
99972.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,19.0,28.0,9.0
99972.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,20.0,28.0,8.0
99970.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,21.0,30.0,9.0
99970.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,30.0,6.0
99970.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,30.0,4.0
99970.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,30.0,4.0
99969.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,31.0,5.0
99969.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,26.0,31.0,5.0
99967.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,33.0,6.0
99967.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,33.0,5.0
99967.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,33.0,4.0
99965.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,35.0,5.0
99965.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,35.0,5.0
99965.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,35.0,5.0
99964.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0,36.0,6.0
99964.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,32.0,36.0,4.0
