SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0
99991.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0
99991.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0
99989.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0
99989.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0
99988.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,8.0
99987.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,9.0
99981.0,5.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,19.0,15.0
99979.0,7.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,21.0,16.0
99976.0,8.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,24.0,18.0
99974.0,7.0,5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,26.0,19.0
99972.0,6.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,10.0,28.0,18.0
99971.0,4.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,14.0,29.0,15.0
99966.0,6.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,17.0,34.0,17.0
99960.0,8.0,5.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,19.0,40.0,21.0
99956.0,10.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,21.0,44.0,23.0
99947.0,11.0,6.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,25.0,53.0,28.0
99939.0,14.0,10.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,25.0,61.0,36.0
99933.0,12.0,13.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,29.0,67.0,38.0
99926.0,12.0,14.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,32.0,74.0,42.0
99910.0,19.0,21.0,4.0,5.0,7.0,1.0,0.0,0.0,0.0,33.0,90.0,57.0
99904.0,18.0,18.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,44.0,96.0,52.0
99899.0,17.0,17.0,5.0,10.0,4.0,0.0,0.0,0.0,0.0,48.0,101.0,53.0
99881.0,19.0,25.0,7.0,13.0,3.0,0.0,0.0,0.0,0.0,52.0,119.0,67.0
99874.0,16.0,28.0,9.0,14.0,2.0,1.0,0.0,0.0,0.0,56.0,126.0,70.0
99855.0,23.0,33.0,7.0,14.0,5.0,1.0,0.0,0.0,0.0,62.0,145.0,83.0
99837.0,28.0,39.0,6.0,14.0,6.0,2.0,0.0,0.0,0.0,68.0,163.0,95.0
99825.0,27.0,35.0,8.0,22.0,6.0,1.0,0.0,0.0,0.0,76.0,175.0,99.0
99799.0,35.0,41.0,5.0,31.0,8.0,1.0,0.0,1.0,0.0,79.0,201.0,121.0
