SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99990.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99990.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99988.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0
99988.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,8.0
99984.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0
99983.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,12.0
99981.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,13.0
99980.0,5.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,14.0
99972.0,6.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,19.0
99968.0,6.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,32.0,20.0
99965.0,4.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,35.0,20.0
99963.0,5.0,5.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,17.0,37.0,20.0
99958.0,6.0,6.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,19.0,42.0,23.0
99955.0,7.0,5.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,21.0,45.0,24.0
99954.0,7.0,3.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,24.0,46.0,22.0
99952.0,7.0,4.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,25.0,48.0,23.0
99948.0,7.0,5.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,31.0,52.0,21.0
99943.0,7.0,7.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,33.0,57.0,24.0
99939.0,5.0,10.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,37.0,61.0,24.0
99939.0,3.0,7.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,41.0,61.0,20.0
99937.0,3.0,9.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,42.0,63.0,21.0
99937.0,3.0,6.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,42.0,63.0,21.0
99935.0,3.0,7.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,44.0,65.0,21.0
99928.0,4.0,6.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,49.0,72.0,23.0
99922.0,7.0,8.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,51.0,78.0,27.0
99919.0,8.0,8.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,56.0,81.0,25.0
99918.0,8.0,3.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,59.0,82.0,23.0
99914.0,9.0,5.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,61.0,86.0,25.0
99910.0,9.0,7.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,64.0,90.0,26.0
