SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99992.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0
99990.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99989.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0
99988.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,8.0
99987.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0
99984.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,10.0
99982.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,12.0
99982.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,11.0
99978.0,6.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,14.0
99974.0,5.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,16.0
99972.0,5.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,28.0,16.0
99969.0,4.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,31.0,17.0
99965.0,4.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,35.0,19.0
99964.0,4.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,36.0,19.0
99958.0,4.0,11.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,42.0,22.0
99953.0,4.0,11.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,23.0,47.0,24.0
99947.0,4.0,10.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,25.0,53.0,28.0
99941.0,4.0,12.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,28.0,59.0,31.0
99937.0,4.0,14.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,28.0,63.0,35.0
99931.0,5.0,13.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,31.0,69.0,38.0
99925.0,5.0,14.0,7.0,11.0,2.0,0.0,0.0,0.0,0.0,36.0,75.0,39.0
99914.0,7.0,12.0,11.0,11.0,3.0,0.0,0.0,0.0,0.0,42.0,86.0,44.0
99908.0,7.0,14.0,9.0,12.0,6.0,0.0,0.0,0.0,0.0,44.0,92.0,48.0
99905.0,4.0,13.0,8.0,12.0,8.0,0.0,0.0,0.0,0.0,50.0,95.0,45.0
99895.0,7.0,17.0,6.0,11.0,10.0,0.0,0.0,0.0,0.0,54.0,105.0,51.0
99879.0,7.0,27.0,4.0,11.0,12.0,1.0,0.0,0.0,0.0,59.0,121.0,62.0
99868.0,7.0,29.0,5.0,14.0,10.0,2.0,0.0,0.0,0.0,65.0,132.0,67.0
99851.0,9.0,32.0,6.0,19.0,9.0,1.0,0.0,0.0,0.0,73.0,149.0,76.0
