SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99990.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99990.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0
99989.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0
99985.0,3.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0
99984.0,2.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,11.0
99983.0,3.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,12.0
99980.0,3.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,13.0
99975.0,6.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,25.0,16.0
99967.0,8.0,7.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,11.0,33.0,22.0
99962.0,10.0,10.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,12.0,38.0,26.0
99960.0,11.0,9.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.0,40.0,26.0
99959.0,10.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,41.0,24.0
99946.0,14.0,13.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,54.0,36.0
99942.0,12.0,14.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,21.0,58.0,37.0
99932.0,12.0,18.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,25.0,68.0,43.0
99928.0,11.0,18.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,28.0,72.0,44.0
99921.0,10.0,16.0,3.0,14.0,2.0,0.0,0.0,0.0,0.0,34.0,79.0,45.0
99909.0,11.0,19.0,2.0,17.0,3.0,0.0,0.0,0.0,0.0,39.0,91.0,52.0
99896.0,12.0,24.0,3.0,17.0,3.0,0.0,0.0,0.0,0.0,45.0,104.0,59.0
99882.0,18.0,28.0,4.0,17.0,2.0,0.0,0.0,0.0,0.0,49.0,118.0,69.0
99867.0,19.0,33.0,6.0,17.0,3.0,0.0,0.0,0.0,0.0,55.0,133.0,78.0
99857.0,18.0,31.0,5.0,21.0,4.0,0.0,0.0,0.0,0.0,64.0,143.0,79.0
99836.0,22.0,36.0,4.0,25.0,6.0,0.0,0.0,0.0,0.0,71.0,164.0,93.0
99812.0,26.0,44.0,7.0,25.0,5.0,0.0,0.0,0.0,0.0,81.0,188.0,107.0
99784.0,37.0,52.0,8.0,25.0,5.0,0.0,0.0,0.0,0.0,89.0,216.0,127.0
99762.0,36.0,58.0,11.0,26.0,3.0,0.0,0.0,0.0,0.0,104.0,238.0,134.0
99735.0,36.0,62.0,9.0,36.0,7.0,0.0,0.0,0.0,0.0,115.0,265.0,150.0
99711.0,42.0,57.0,8.0,44.0,10.0,0.0,0.0,0.0,0.0,128.0,289.0,161.0
