SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99992.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
99991.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0
99989.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0
99987.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,10.0
99985.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,11.0
99984.0,5.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0
99981.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,13.0
99981.0,6.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,19.0,12.0
99981.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,19.0,9.0
99979.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,21.0,10.0
99979.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,8.0
99976.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,10.0
99976.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,24.0,9.0
99973.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,9.0
99971.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,29.0,8.0
99969.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,31.0,10.0
99968.0,2.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,32.0,11.0
99966.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0,34.0,12.0
99964.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,36.0,11.0
99960.0,2.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,40.0,15.0
99958.0,3.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,42.0,15.0
99953.0,5.0,7.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,28.0,47.0,19.0
99948.0,6.0,8.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,29.0,52.0,23.0
99944.0,6.0,9.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,31.0,56.0,25.0
99944.0,6.0,8.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,33.0,56.0,23.0
99938.0,6.0,9.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,36.0,62.0,26.0
99932.0,6.0,13.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,39.0,68.0,29.0
99927.0,6.0,14.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,42.0,73.0,31.0
