SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99993.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99990.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
99989.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0
99988.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,7.0
99986.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,9.0
99984.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,16.0,10.0
99984.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,16.0,9.0
99982.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,18.0,10.0
99980.0,6.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,20.0,11.0
99980.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,20.0,10.0
99978.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,9.0
99976.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,24.0,9.0
99974.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,26.0,9.0
99973.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,27.0,10.0
99970.0,1.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,19.0,30.0,11.0
99967.0,1.0,7.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,20.0,33.0,13.0
99966.0,1.0,7.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,20.0,34.0,14.0
99965.0,0.0,6.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,22.0,35.0,13.0
99958.0,3.0,8.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,22.0,42.0,20.0
99956.0,4.0,6.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,25.0,44.0,19.0
99951.0,4.0,8.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,26.0,49.0,23.0
99945.0,5.0,10.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,31.0,55.0,24.0
99941.0,6.0,10.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,32.0,59.0,27.0
99940.0,6.0,9.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,32.0,60.0,28.0
99935.0,6.0,11.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,37.0,65.0,28.0
99929.0,7.0,13.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,41.0,71.0,30.0
99919.0,7.0,20.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,45.0,81.0,36.0
99915.0,9.0,15.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,47.0,85.0,38.0
99907.0,9.0,17.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,51.0,93.0,42.0
