SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0
99992.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0
99992.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0
99990.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0
99989.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0
99989.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99988.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,6.0
99987.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,6.0
99985.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,8.0
99984.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,8.0
99982.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,10.0
99981.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,19.0,10.0
99976.0,5.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,24.0,14.0
99973.0,5.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,27.0,15.0
99971.0,5.0,5.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,12.0,29.0,17.0
99970.0,6.0,3.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,12.0,30.0,18.0
99964.0,6.0,7.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,14.0,36.0,22.0
99955.0,7.0,12.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,18.0,45.0,27.0
99947.0,8.0,16.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,20.0,53.0,33.0
99940.0,8.0,18.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,23.0,60.0,37.0
99935.0,9.0,15.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,26.0,65.0,39.0
99928.0,6.0,19.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,30.0,72.0,42.0
99914.0,10.0,23.0,4.0,13.0,2.0,0.0,0.0,0.0,0.0,34.0,86.0,52.0
99900.0,13.0,25.0,6.0,16.0,2.0,0.0,0.0,0.0,0.0,38.0,100.0,62.0
99887.0,17.0,28.0,6.0,16.0,3.0,0.0,0.0,0.0,0.0,43.0,113.0,70.0
99879.0,16.0,26.0,6.0,21.0,4.0,0.0,0.0,0.0,0.0,48.0,121.0,73.0
99865.0,16.0,25.0,9.0,25.0,4.0,1.0,0.0,0.0,0.0,55.0,135.0,80.0
99845.0,16.0,32.0,9.0,31.0,6.0,1.0,0.0,0.0,0.0,60.0,155.0,95.0
99826.0,20.0,37.0,15.0,26.0,5.0,1.0,0.0,0.0,0.0,70.0,174.0,104.0
