SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99994.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99993.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99991.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0
99989.0,4.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0
99988.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,8.0
99987.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0
99987.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0
99986.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0
99980.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,12.0
99978.0,4.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,13.0
99977.0,4.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,13.0
99973.0,6.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,16.0
99970.0,6.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,30.0,19.0
99967.0,4.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,33.0,19.0
99959.0,5.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,41.0,24.0
99957.0,6.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,17.0,43.0,26.0
99952.0,7.0,12.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,18.0,48.0,30.0
99945.0,9.0,11.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,21.0,55.0,34.0
99938.0,9.0,14.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,23.0,62.0,39.0
99929.0,10.0,16.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,29.0,71.0,42.0
99923.0,11.0,17.0,4.0,13.0,2.0,0.0,0.0,0.0,0.0,30.0,77.0,47.0
99915.0,12.0,20.0,2.0,12.0,4.0,0.0,0.0,0.0,0.0,35.0,85.0,50.0
99895.0,14.0,28.0,3.0,14.0,5.0,0.0,0.0,0.0,0.0,41.0,105.0,64.0
99878.0,19.0,31.0,5.0,15.0,4.0,0.0,0.0,0.0,0.0,48.0,122.0,74.0
99863.0,19.0,39.0,8.0,15.0,3.0,1.0,0.0,0.0,0.0,52.0,137.0,85.0
99853.0,22.0,34.0,9.0,22.0,2.0,0.0,0.0,0.0,0.0,58.0,147.0,89.0
99829.0,20.0,41.0,10.0,27.0,3.0,0.0,0.0,0.0,0.0,70.0,171.0,101.0
99808.0,22.0,46.0,9.0,30.0,5.0,0.0,0.0,0.0,0.0,80.0,192.0,112.0
99782.0,27.0,55.0,10.0,35.0,4.0,1.0,0.0,0.0,0.0,86.0,218.0,132.0
99753.0,36.0,62.0,8.0,30.0,7.0,0.0,0.0,0.0,0.0,104.0,247.0,143.0
