SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0
99992.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0
99991.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0
99991.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0
99989.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0
99985.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0
99985.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,15.0,8.0
99984.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,7.0
99984.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,16.0,7.0
99981.0,1.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,19.0,10.0
99976.0,2.0,7.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,24.0,15.0
99974.0,2.0,3.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,10.0,26.0,16.0
99968.0,4.0,6.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,12.0,32.0,20.0
99967.0,5.0,4.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,12.0,33.0,21.0
99965.0,6.0,5.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,12.0,35.0,23.0
99956.0,7.0,9.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,16.0,44.0,28.0
99949.0,11.0,9.0,2.0,6.0,4.0,1.0,0.0,0.0,0.0,18.0,51.0,33.0
99943.0,12.0,11.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,23.0,57.0,34.0
99938.0,12.0,9.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,26.0,62.0,35.0
99932.0,12.0,11.0,2.0,8.0,5.0,0.0,0.0,1.0,0.0,29.0,68.0,38.0
99927.0,13.0,14.0,2.0,8.0,3.0,1.0,0.0,1.0,0.0,31.0,73.0,41.0
99922.0,10.0,15.0,1.0,10.0,2.0,3.0,0.0,1.0,0.0,36.0,78.0,41.0
99914.0,10.0,15.0,1.0,12.0,3.0,1.0,0.0,1.0,0.0,43.0,86.0,42.0
99903.0,13.0,18.0,2.0,11.0,3.0,0.0,0.0,2.0,0.0,48.0,97.0,47.0
99889.0,19.0,22.0,2.0,10.0,3.0,0.0,0.0,2.0,0.0,53.0,111.0,56.0
99876.0,19.0,24.0,2.0,14.0,3.0,1.0,0.0,2.0,0.0,59.0,124.0,63.0
99866.0,22.0,19.0,6.0,19.0,2.0,1.0,0.0,2.0,0.0,63.0,134.0,69.0
99847.0,22.0,26.0,9.0,22.0,2.0,2.0,0.0,2.0,0.0,68.0,153.0,83.0
99830.0,28.0,31.0,9.0,24.0,3.0,0.0,1.0,2.0,0.0,72.0,170.0,96.0
